stock_id,revenue
1101,12584154.0
1102,8340507.0
1103,228644.0
1104,725055.0
1108,418326.0
1109,516142.0
1110,167733.0
1201,1453858.0
1203,609563.0
1210,10247364.0
1213,34198.0
1215,2748111.0
1216,44564715.0
1217,335992.0
1218,873258.0
1219,1495331.0
1220,299446.0
1225,1446610.0
1227,3562467.0
1229,1229700.0
1231,1273749.0
1232,2531262.0
1233,193545.0
1234,856128.0
1235,2455.0
1236,320009.0
1256,340614.0
1301,16662024.0
1303,23938601.0
1304,5385876.0
1305,1375854.0
1307,742256.0
1308,829188.0
1309,1362281.0
1310,962686.0
1312,1261110.0
1313,5433061.0
1314,1249149.0
1315,179165.0
1316,103052.0
1319,1724639.0
1321,467673.0
1323,288851.0
1324,81685.0
1325,39273.0
1326,28831311.0
1337,73922.0
1338,464981.0
1339,154272.0
1340,52082.0
1341,253351.0
1342,253662.0
1402,20497072.0
1409,2997669.0
1410,32605.0
1413,212772.0
1414,48699.0
1416,17835.0
1417,136189.0
1418,6450.0
1419,271690.0
1423,13507.0
1432,104185.0
1434,2632228.0
1435,745.0
1436,114841.0
1437,51382.0
1438,124552.0
1439,13807.0
1440,1817974.0
1441,137761.0
1442,1380284.0
1443,72803.0
1444,651881.0
1445,144218.0
1446,14263.0
1447,2211894.0
1449,174301.0
1451,427427.0
1452,127138.0
1453,57.0
1454,126002.0
1455,536603.0
1456,61064.0
1457,299367.0
1459,132567.0
1460,701854.0
1463,39664.0
1464,990249.0
1465,60043.0
1466,213312.0
1467,430250.0
1468,118675.0
1470,30482.0
1471,24096.0
1472,204493.0
1473,549939.0
1474,225268.0
1475,122090.0
1476,2639883.0
1477,2468373.0
1503,2733413.0
1504,5159923.0
1506,89678.0
1512,132132.0
1513,1573694.0
1514,883938.0
1515,355024.0
1516,220001.0
1517,335340.0
1519,1262908.0
1521,385947.0
1522,1586603.0
1524,218854.0
1525,130771.0
1526,147188.0
1527,213173.0
1528,376144.0
1529,37222.0
1530,211350.0
1531,166777.0
1532,1237022.0
1533,331974.0
1535,998704.0
1536,614907.0
1537,538718.0
1538,21798.0
1539,76708.0
1540,25062.0
1541,197525.0
1558,553589.0
1560,517624.0
1563,492860.0
1568,123015.0
1582,529049.0
1583,508625.0
1587,181395.0
1589,953523.0
1590,2079528.0
1597,110690.0
1598,743365.0
1603,285921.0
1604,648757.0
1605,14681167.0
1608,795462.0
1609,2202713.0
1611,132493.0
1612,664113.0
1614,368334.0
1615,529050.0
1616,328810.0
1617,283657.0
1618,168558.0
1626,497907.0
1702,1947391.0
1707,1110115.0
1708,491856.0
1709,631094.0
1710,1581748.0
1711,609866.0
1712,1454166.0
1713,29206.0
1714,1773292.0
1717,3586926.0
1718,2721853.0
1720,522557.0
1721,261399.0
1722,1432121.0
1723,730532.0
1725,702365.0
1726,937389.0
1727,182380.0
1730,209628.0
1731,109021.0
1732,51308.0
1733,159614.0
1734,250087.0
1735,200495.0
1736,4712665.0
1737,268302.0
1752,197563.0
1760,130434.0
1762,148138.0
1773,813866.0
1776,105944.0
1783,61732.0
1786,64646.0
1789,476258.0
1795,1270976.0
1802,3892925.0
1805,697.0
1806,231899.0
1808,1484786.0
1809,193462.0
1810,424453.0
1817,263630.0
1903,13303.0
1904,3559238.0
1905,2031292.0
1906,253416.0
1907,6516348.0
1909,4351120.0
2002,30971250.0
2006,5520792.0
2007,428092.0
2008,202679.0
2009,184628.0
2010,1650017.0
2012,904710.0
2013,1921430.0
2014,2444519.0
2015,3258602.0
2017,194155.0
2020,526670.0
2022,535650.0
2023,5415053.0
2024,76287.0
2025,22062.0
2027,7239664.0
2028,1446247.0
2029,804440.0
2030,1032858.0
2031,1275125.0
2032,310803.0
2033,64541.0
2034,1028155.0
2038,802873.0
2049,1680534.0
2059,612195.0
2062,650589.0
2069,922453.0
2072,192550.0
2101,568655.0
2102,73217.0
2103,2273646.0
2104,1596089.0
2105,7423415.0
2106,2398393.0
2107,143552.0
2108,738686.0
2109,424490.0
2114,140030.0
2115,231097.0
2201,7240121.0
2204,2623192.0
2206,4066048.0
2207,22409507.0
2208,1934483.0
2211,646030.0
2227,1948335.0
2228,342761.0
2231,418968.0
2233,228708.0
2236,141224.0
2239,2539584.0
2241,50675.0
2243,148027.0
2247,3482916.0
2248,111561.0
2250,289064.0
2254,41896.0
2301,13354661.0
2302,54578.0
2303,20946009.0
2305,40793.0
2308,34422119.0
2312,15396639.0
2313,5901972.0
2314,408807.0
2316,322161.0
2317,629339433.0
2321,81299.0
2323,499748.0
2324,72523203.0
2327,9000510.0
2328,2430121.0
2329,1172398.0
2330,192560242.0
2331,1792977.0
2332,1313864.0
2337,2582192.0
2338,599925.0
2340,243333.0
2342,151489.0
2344,6477675.0
2345,8770217.0
2347,39768842.0
2348,696323.0
2349,659980.0
2351,931296.0
2352,17983706.0
2353,22892167.0
2354,11200349.0
2355,1353633.0
2356,40324850.0
2357,41013055.0
2359,349616.0
2360,1466259.0
2362,1667082.0
2363,20607.0
2364,79867.0
2365,64827.0
2367,1064313.0
2368,2607969.0
2369,461525.0
2371,4424394.0
2373,1027490.0
2374,367763.0
2375,441275.0
2376,8772357.0
2377,12289620.0
2379,6377276.0
2380,176834.0
2382,106329239.0
2383,2716460.0
2385,8565939.0
2387,1921741.0
2388,639862.0
2390,71126.0
2392,8821647.0
2393,1411433.0
2395,5635058.0
2397,1499864.0
2399,156118.0
2401,358702.0
2402,618101.0
2404,7087539.0
2405,122604.0
2406,387342.0
2408,2400249.0
2409,17996833.0
2412,20961444.0
2413,488063.0
2414,1983243.0
2415,185447.0
2417,285364.0
2419,1379441.0
2420,182719.0
2421,1122660.0
2423,265333.0
2424,15403.0
2425,559917.0
2426,151159.0
2427,483936.0
2428,623649.0
2429,36150.0
2430,1787250.0
2431,45225.0
2432,160315.0
2433,264840.0
2434,5733.0
2436,214034.0
2438,10126.0
2439,3032043.0
2440,234898.0
2441,961379.0
2442,9968.0
2444,193234.0
2449,2932870.0
2450,2795633.0
2451,797434.0
2453,715977.0
2454,38685212.0
2455,183123.0
2457,1080499.0
2458,592814.0
2459,671359.0
2460,226525.0
2461,508148.0
2462,401102.0
2464,933611.0
2465,498619.0
2466,63596.0
2467,426541.0
2468,260993.0
2471,85267.0
2472,772788.0
2474,1624090.0
2476,575849.0
2477,187162.0
2478,369758.0
2480,709020.0
2481,902868.0
2482,159535.0
2483,152812.0
2484,207369.0
2485,606173.0
2486,371043.0
2488,223791.0
2489,1162468.0
2491,-40035.0
2492,2371653.0
2493,313190.0
2495,110741.0
2496,64168.0
2497,341981.0
2498,520450.0
2501,2170934.0
2504,1863020.0
2505,82538.0
2506,67751.0
2509,17526.0
2511,1028642.0
2514,1249510.0
2515,1668347.0
2516,694117.0
2520,2357472.0
2524,823079.0
2527,28661.0
2528,592419.0
2530,1018.0
2534,738855.0
2535,1548664.0
2536,12361.0
2537,1892.0
2538,34806.0
2539,0.0
2540,798661.0
2542,7978393.0
2543,817367.0
2545,469105.0
2546,1701284.0
2547,765805.0
2548,17540.0
2597,2640140.0
2601,457670.0
2603,29143977.0
2605,464443.0
2606,1099548.0
2607,1170505.0
2608,1120068.0
2609,16360098.0
2610,14175886.0
2611,36499.0
2612,345528.0
2613,254548.0
2614,541653.0
2615,11458150.0
2616,1503439.0
2617,348285.0
2618,14678800.0
2630,306724.0
2633,4246169.0
2634,3118814.0
2636,1227161.0
2637,1500514.0
2642,373196.0
2645,991110.0
2646,965477.0
2701,19939.0
2702,102302.0
2704,166809.0
2705,185225.0
2706,27557.0
2707,646837.0
2712,55067.0
2722,60401.0
2723,1774550.0
2727,1740825.0
2731,654779.0
2739,482021.0
2748,266489.0
2753,582969.0
2801,3143300.0
2812,1338751.0
2816,810501.0
2820,201445.0
2832,516059.0
2834,2627259.0
2836,308750.0
2838,1393577.0
2845,1189258.0
2849,448703.0
2850,1586717.0
2851,1780345.0
2852,524695.0
2855,570959.0
2867,9139491.0
2880,3781485.0
2881,3343545.0
2882,17233019.0
2883,-130608.0
2884,5167780.0
2885,6384408.0
2886,5487929.0
2887,4920669.0
2889,367184.0
2890,3530111.0
2891,1625695.0
2892,5153601.0
2897,3923076.0
2901,8125.0
2903,3319245.0
2904,38276.0
2905,14526115.0
2906,689662.0
2908,3395001.0
2910,117447.0
2911,345350.0
2912,25994528.0
2913,33103.0
2915,224716.0
2923,1749570.0
2929,267966.0
2939,63741.0
2945,1196127.0
3002,70630.0
3003,326852.0
3004,253889.0
3005,2551328.0
3006,857616.0
3008,4015226.0
3010,4971579.0
3011,83259.0
3013,812403.0
3014,384572.0
3015,949818.0
3016,447295.0
3017,4564663.0
3018,-21320.0
3019,1454920.0
3021,290355.0
3022,738946.0
3023,2646219.0
3024,60558.0
3025,23301.0
3026,957091.0
3027,176906.0
3028,2891254.0
3029,972792.0
3030,348640.0
3031,116679.0
3032,514442.0
3033,5656747.0
3034,7768890.0
3035,1086657.0
3036,56765693.0
3037,10650164.0
3038,361216.0
3040,13785.0
3041,277213.0
3042,970129.0
3043,131379.0
3044,4823651.0
3045,15594734.0
3046,244275.0
3047,528343.0
3048,10007762.0
3049,197473.0
3050,98814.0
3051,189352.0
3052,292060.0
3054,3677.0
3055,98842.0
3056,108471.0
3057,57811.0
3058,406467.0
3059,919420.0
3060,187147.0
3062,543158.0
3090,662079.0
3092,166042.0
3094,22654.0
3130,165816.0
3135,247835.0
3138,174715.0
3149,155807.0
3150,15074.0
3164,35457.0
3167,132690.0
3168,386406.0
3189,2822214.0
3209,5146708.0
3229,74399.0
3231,96428739.0
3257,33742.0
3266,400243.0
3296,210537.0
3305,551358.0
3308,72132.0
3311,164605.0
3312,1472864.0
3321,109419.0
3338,305471.0
3346,793789.0
3356,99863.0
3376,763852.0
3380,3646345.0
3406,1457212.0
3413,1318156.0
3416,248773.0
3419,163360.0
3432,943.0
3437,112941.0
3443,3117859.0
3447,455025.0
3450,432248.0
3481,16113266.0
3494,26006.0
3501,447862.0
3504,301150.0
3515,1411594.0
3518,32380.0
3528,462664.0
3530,201638.0
3532,1386457.0
3533,2247537.0
3535,126375.0
3543,236370.0
3545,1130912.0
3550,343112.0
3557,591465.0
3563,186029.0
3576,1785738.0
3583,538867.0
3588,91233.0
3591,141295.0
3592,1410187.0
3593,73491.0
3596,4200805.0
3605,728798.0
3607,243258.0
3617,878152.0
3622,62477.0
3645,79714.0
3652,188538.0
3653,1126677.0
3661,1635779.0
3665,4011194.0
3669,207068.0
3673,6923791.0
3679,289403.0
3686,863.0
3694,718683.0
3701,1279696.0
3702,58681251.0
3703,2561108.0
3704,2845402.0
3705,480164.0
3706,4378663.0
3708,711417.0
3711,53138889.0
3712,1591577.0
3714,1465172.0
3715,1234937.0
4104,675492.0
4106,236943.0
4108,10716.0
4119,88585.0
4133,25920.0
4137,251089.0
4142,207592.0
4148,286844.0
4155,65113.0
4164,383833.0
4169,72731.0
4190,231331.0
4195,41301.0
4306,988803.0
4414,1090393.0
4426,158376.0
4438,1556026.0
4439,408938.0
4440,96371.0
4441,403127.0
4526,811384.0
4532,1395219.0
4536,912284.0
4540,231452.0
4545,218886.0
4551,694113.0
4552,489369.0
4555,124667.0
4557,180937.0
4560,112137.0
4562,78300.0
4564,155466.0
4566,339060.0
4571,205644.0
4572,55771.0
4576,244674.0
4581,85184.0
4582,522354.0
4583,362960.0
4585,117795.0
4588,66726.0
4590,408697.0
4720,286164.0
4722,285817.0
4736,483216.0
4737,186148.0
4739,502961.0
4746,373368.0
4755,408454.0
4763,401564.0
4764,237135.0
4766,1726992.0
4770,598506.0
4771,156290.0
4807,81774.0
4904,8124570.0
4906,2552928.0
4912,306000.0
4915,5849914.0
4916,379139.0
4919,3000933.0
4927,1014126.0
4930,377356.0
4934,242578.0
4935,578531.0
4938,112769371.0
4942,493315.0
4943,116965.0
4949,433364.0
4952,144403.0
4956,104576.0
4958,16690872.0
4960,714121.0
4961,1420118.0
4967,677831.0
4968,231311.0
4976,71883.0
4977,290331.0
4989,309534.0
4994,112258.0
4999,187477.0
5007,559378.0
5203,146279.0
5215,156565.0
5222,122428.0
5225,759799.0
5234,312953.0
5236,126383.0
5243,1139244.0
5244,81062.0
5258,862455.0
5269,372511.0
5283,592844.0
5284,158534.0
5285,468313.0
5288,676139.0
5292,179257.0
5306,377577.0
5388,6743605.0
5434,4248803.0
5469,3195166.0
5471,181402.0
5484,36194.0
5515,529306.0
5519,136063.0
5521,330542.0
5522,2379714.0
5525,1076862.0
5531,75673.0
5533,36246.0
5534,1500833.0
5538,1181643.0
5546,332410.0
5607,257470.0
5608,366120.0
5706,52190.0
5871,7773007.0
5876,3812959.0
5880,4993820.0
5906,301892.0
5907,267039.0
6005,831599.0
6024,218035.0
6108,472409.0
6112,1023715.0
6115,556406.0
6116,1141608.0
6117,164101.0
6120,1033789.0
6128,409634.0
6133,102023.0
6136,53706.0
6139,4047910.0
6141,130277.0
6142,363376.0
6152,358120.0
6153,808588.0
6155,59066.0
6164,84565.0
6165,321622.0
6166,1268115.0
6168,162463.0
6176,3691996.0
6177,83143.0
6183,273154.0
6184,177339.0
6189,1874456.0
6191,1843110.0
6192,574362.0
6196,4949913.0
6197,347128.0
6201,228573.0
6202,347486.0
6205,142766.0
6206,234232.0
6209,306588.0
6213,2346873.0
6214,4005102.0
6215,90649.0
6216,61594.0
6224,220020.0
6225,4665.0
6226,69581.0
6230,1093060.0
6235,437861.0
6239,5780399.0
6243,60637.0
6257,1335424.0
6269,3308445.0
6271,1070059.0
6272,214732.0
6277,477214.0
6278,5331925.0
6281,1633501.0
6282,1748507.0
6283,141325.0
6285,9405143.0
6405,24777.0
6409,1773663.0
6412,3030191.0
6414,12514854.0
6415,1491807.0
6416,495988.0
6426,35316.0
6431,13675.0
6438,536605.0
6442,198889.0
6443,1139354.0
6446,250922.0
6449,228872.0
6451,504060.0
6456,9072362.0
6464,457041.0
6472,1666525.0
6477,97693.0
6491,515351.0
6504,477304.0
6505,62256273.0
6515,477430.0
6525,332939.0
6526,972636.0
6531,276822.0
6533,73227.0
6534,16717.0
6541,3474.0
6550,0.0
6552,148751.0
6558,66761.0
6573,95317.0
6579,774465.0
6581,263460.0
6582,79881.0
6585,180962.0
6589,133101.0
6591,160788.0
6592,2146925.0
6598,32084.0
6605,1418471.0
6606,70664.0
6614,618025.0
6625,324650.0
6641,182832.0
6645,40483.0
6655,234528.0
6657,1003.0
6658,148845.0
6666,65587.0
6668,106881.0
6669,30515973.0
6670,3115498.0
6671,189693.0
6672,389908.0
6674,100912.0
6689,827417.0
6691,1418002.0
6695,63380.0
6698,107952.0
6706,128945.0
6715,269531.0
6719,347751.0
6722,374279.0
6742,101371.0
6743,256335.0
6753,311204.0
6754,450536.0
6756,131905.0
6757,497343.0
6768,1222679.0
6770,4100138.0
6771,56312.0
6776,1996771.0
6781,1074181.0
6782,215124.0
6789,574302.0
6790,940719.0
6792,108456.0
6794,1598.0
6796,56430.0
6799,78159.0
6805,390669.0
6807,293197.0
6830,175956.0
6831,128766.0
6834,72738.0
6835,179904.0
6838,0.0
6854,43530.0
6861,176541.0
6869,1115232.0
6873,1112781.0
6885,526.0
6890,1742189.0
6901,-981162.0
6906,36859.0
