stock_id,date,wave_label_realtime,mv_short,mv_mid,mv_long,mv_short_direction,mv_mid_direction,mv_long_direction,mv_bias,is_volume_burst,mv_mid_veto_active,rsi_14,macd,macd_signal,macd_hist,ret_5d,ret_20d,entry_open_next
2337,2016-07-22,unknown,,,,0,0,0,,False,False,50.0,0.0,0.0,0.0,,,4.09
2337,2016-07-25,unknown,,,,0,0,0,,False,False,50.0,-0.019145299145298722,-0.0038290598290597446,-0.015316239316238978,,,3.7
2337,2016-07-26,unknown,,,,0,0,0,,False,False,50.0,-0.026747510166313493,-0.008412749896510495,-0.018334760269802998,,,3.88
2337,2016-07-27,1,,,,0,0,0,,False,False,50.0,-0.022028473101110446,-0.011135894537430486,-0.01089257856367996,,,4.05
2337,2016-07-28,1,10489132.8,,,0,0,0,,False,False,50.0,-0.019675626704144022,-0.012843840970773193,-0.006831785733370829,,,4.03
2337,2016-07-29,1,10260906.0,,,-1,0,0,,False,False,50.0,-0.009630796886530124,-0.01220123215392458,0.0025704352673944567,0.014925373134328401,,4.1
2337,2016-08-01,1,9755512.4,,,-1,0,0,,False,False,50.0,0.006326044672984921,-0.008495776788542683,0.014821821461527603,0.10582010582010581,,4.19
2337,2016-08-02,1,9176846.0,,,-1,0,0,,False,False,50.0,0.021946635129323155,-0.0024072944049695153,0.02435392953429267,0.09043927648578798,,4.19
2337,2016-08-03,1,8792538.0,,,-1,0,0,,False,False,50.0,0.029946281382814632,0.004063420752587315,0.025882860630227315,0.04249999999999998,,4.19
2337,2016-08-04,1,8532376.8,,,-1,0,0,,False,False,50.0,0.03826570472805457,0.010903877547680768,0.027361827180373804,0.05527638190954787,,4.21
2337,2016-08-05,1,7461153.0,,,-1,0,0,,False,False,50.0,0.04434769504437597,0.017592641047019807,0.02675505399735616,0.02941176470588247,,4.2
2337,2016-08-08,1,9469686.2,,,1,0,0,,False,False,50.0,0.06456181628885105,0.026986476095386056,0.03757534019346499,0.052631578947368585,,4.44
2337,2016-08-09,1,11370105.8,10681222.923076924,,1,0,0,,False,False,50.0,0.07407929798992008,0.03640504047429286,0.03767425751562722,0.026066350710900466,,4.33
2337,2016-08-10,1,11195393.4,10210056.846153846,,-1,-1,0,,False,True,50.0,0.07670320190967583,0.04446467276136946,0.032238529148306376,0.026378896882494063,,4.36
2337,2016-08-11,2,13293913.4,10371952.846153846,,1,1,0,,False,False,19.9269407764169,0.06193044057148267,0.0479578263233921,0.01397261424809057,-0.02857142857142858,,4.1
2337,2016-08-12,3,13629036.6,10202219.76923077,,1,-1,0,,False,True,19.61571844986713,0.04725741740826628,0.04781774454036694,-0.0005603271321006631,-0.03571428571428581,,4.01
2337,2016-08-15,3,9957480.6,9836117.23076923,,-1,-1,0,,False,True,23.883222455269035,0.04320012099938442,0.04689421983217044,-0.0036940988327860205,-0.05681818181818177,,4.2
2337,2016-08-16,3,8179773.6,9793007.846153846,,-1,-1,0,,False,True,25.585019824571802,0.0427199016363069,0.04605935619299774,-0.003339454556690838,-0.03233256351039249,,4.25
2337,2016-08-17,3,8807645.4,9651110.461538462,,1,-1,0,,False,True,28.593771077065668,0.04744087049274093,0.04633565905294638,0.0011052114397945498,-0.004672897196261738,,4.21
2337,2016-08-18,3,8731844.4,9978234.384615384,10261816.85,-1,1,0,-0.1490937201826984,False,False,36.1410116277179,0.0657556937222239,0.05021966598680189,0.015536027735422009,0.09068627450980404,,4.5
2337,2016-08-19,3,9578201.4,10356587.23076923,10232324.25,1,1,-1,-0.0639271033655916,False,False,34.68642124799388,0.07377151598210752,0.05493003598586302,0.018841479996244498,0.08148148148148149,0.08955223880597019,4.32
2337,2016-08-22,unknown,9994749.6,10298506.307692308,9794357.2,1,-1,-1,0.020459984857403413,False,True,30.86422938819905,0.06325660161612312,0.056595349111915036,0.0066612525042080845,0.0072289156626503814,0.10582010582010581,4.2
2337,2016-08-23,unknown,9032810.6,9985482.384615384,9439884.0,-1,-1,-1,-0.043122712101123284,False,True,30.502261773022596,0.052702106296720785,0.05581670054887619,-0.003114594252155406,-0.007159904534606243,0.07493540051679592,4.08
2337,2016-08-24,unknown,7679226.8,9734985.0,9118700.9,-1,-1,-1,-0.15785955870095492,False,True,32.21450604696017,0.047023204194092116,0.054058001277919376,-0.00703479708382726,-0.014084507042253391,0.050000000000000044,4.2
2337,2016-08-25,unknown,5030255.8,8270761.153846154,8897097.6,-1,-1,-1,-0.43461834115431086,False,True,32.00223048832956,0.04124032415135925,0.051494465852607356,-0.010254141701248103,-0.05842696629213473,0.05276381909547756,4.22
2337,2016-08-26,unknown,3740315.6,7422052.538461538,8602176.65,-1,-1,-1,-0.5651896313940495,False,True,32.953793182557845,0.03783504407057059,0.048762581496200004,-0.010927537425629415,-0.038812785388127824,0.0318627450980391,4.21
2337,2016-08-29,2,4198075.0,7607230.0,8404997.85,1,1,-1,-0.5005263445724736,False,False,37.21190667411018,0.041915408177409574,0.047393146832441925,-0.005477738655032351,0.028708133971291794,0.028708133971291794,4.3
2337,2016-08-30,2,5627744.4,7036955.846153846,8552608.6,1,-1,1,-0.3419850406810384,False,True,36.654790292327185,0.043039164578182465,0.046522350381590034,-0.0034831858034075694,0.028846153846153966,0.014218009478673022,4.21
2337,2016-08-31,2,5853640.6,6744448.076923077,8383976.55,1,-1,-1,-0.3018061816978722,False,True,33.92028839207239,0.03545191771749767,0.04430826384877157,-0.008856346131273896,-0.004761904761904856,0.0023980815347721673,4.15
2337,2016-09-01,2,5732108.2,6645617.923076923,8197030.45,-1,-1,-1,-0.3007091732836005,False,True,34.965267310186775,0.0306989246760212,0.0415863960142215,-0.010887471338200297,0.0023866348448686736,0.0,4.18
2337,2016-09-02,2,5389012.2,6348682.769230769,8084141.45,-1,-1,-1,-0.333384722010276,False,True,33.26568650171373,0.021838899647217858,0.03763689674082077,-0.01579799709360291,-0.016627078384798155,-0.014285714285714457,4.14
2337,2016-09-05,2,5021810.2,6151139.538461538,7293028.85,-1,-1,-1,-0.31142323672557526,False,True,31.875216737887953,0.010659804258301264,0.03224147824431687,-0.021581673986015605,-0.0488372093023256,-0.07045454545454555,4.07
2337,2016-09-06,2,4343298.0,5349053.384615385,6795906.65,-1,-1,-1,-0.36089498816173415,False,True,29.486088750143608,-0.005399712690374869,0.024713240057378523,-0.030112952747753392,-0.06542056074766356,-0.07621247113163976,3.99
2337,2016-09-07,2,5393763.0,5135048.692307692,6933568.95,1,-1,1,-0.22207984965664762,False,True,29.486088750143608,-0.01792042012662698,0.016186508020577424,-0.0341069281472044,-0.04306220095693769,-0.06542056074766356,4.05
2337,2016-09-08,1,6006516.0,5111681.923076923,6375181.1,1,-1,-1,-0.057828176834066713,False,True,38.92452341662213,-0.014762337119398339,0.009996738992582271,-0.02475907611198061,-0.00952380952380949,0.019607843137254832,4.14
2337,2016-09-09,1,5877739.2,5135193.769230769,6146317.1,-1,1,-1,-0.04369737122739725,False,False,36.61537725575576,-0.01770386938302959,0.004456617317459898,-0.02216048670048949,-0.01207729468599028,0.009876543209876631,4.0
2337,2016-09-10,2,4974482.4,5110853.230769231,6047279.3,-1,-1,-1,-0.17740157958306957,False,True,38.30460712266055,-0.01741357278749245,8.257929646942903e-05,-0.017496152083961877,0.007334963325183352,-0.0072289156626507145,4.06
2337,2016-09-12,3,4246758.0,5047708.076923077,5812652.75,-1,-1,-1,-0.26939416774896796,False,True,34.657426541416896,-0.02576261593586171,-0.0050864597499968,-0.02067615618586491,0.0024999999999999467,-0.042959427207637346,4.0
2337,2016-09-13,3,3361291.0,4989270.0,5571980.35,-1,-1,-1,-0.39675110304364225,False,True,32.252243310552885,-0.03839206437477305,-0.01174758067495205,-0.026644483699821,-0.01749999999999996,-0.07746478873239426,3.85
2337,2016-09-14,unknown,3344020.2,4783199.307692308,5028225.05,-1,-1,-1,-0.33495017292434026,False,True,29.24674319417963,-0.05662434375711367,-0.020722933291384374,-0.0359014104657293,-0.08173076923076927,-0.14157303370786523,3.85
2337,2016-09-19,2,3731080.6,4405707.692307692,4684536.9,1,-1,-1,-0.20353266936588765,False,True,39.226808218103294,-0.05590462710502031,-0.027759272054111564,-0.028145355050908746,-0.022004889975550057,-0.08675799086757985,4.04
2337,2016-09-20,2,3776385.8,4311909.076923077,4492688.35,1,-1,-1,-0.15943740010365948,False,True,40.727439707679515,-0.052310494376399674,-0.03266951651856918,-0.01964097785783049,-0.021844660194174748,-0.03588516746411474,3.99
2337,2016-09-21,2,3875981.0,4333813.0,4523445.35,1,1,1,-0.14313522103234866,False,False,39.67247959765582,-0.05129160982404457,-0.03639393517966426,-0.014897674644380313,-0.0024937655860348684,-0.03846153846153855,4.05
2337,2016-09-22,2,3687289.2,4334761.153846154,4573995.95,-1,1,1,-0.1938582280554927,False,False,38.59583092900192,-0.05230198107420492,-0.03957554435857239,-0.012726436715632526,0.010178117048346147,-0.05476190476190479,3.97
2337,2016-09-23,2,3200397.8,4082656.076923077,4570760.55,-1,-1,-1,-0.29981066280096424,False,True,39.769364537530926,-0.05090210691323005,-0.04184085686950392,-0.009061250043726127,0.04450261780104725,-0.04773269689737469,3.96
2337,2016-09-26,2,3347077.0,4022545.769230769,4586227.25,1,-1,1,-0.27018945692235374,False,True,44.35079707500387,-0.04284349203596083,-0.042041383902795305,-0.000802108133165523,0.01750000000000007,-0.03325415676959609,4.15
2337,2016-09-29,2,4097540.2,3813361.846153846,4467554.65,1,-1,-1,-0.08282259065370368,False,True,50.44038264704921,-0.026468867935127705,-0.038926880709261785,0.01245801277413408,0.03970223325062028,-0.025581395348837077,4.11
2337,2016-09-30,2,4361568.8,3701141.0,4206901.45,1,-1,-1,0.036765146946810434,False,True,50.44038264704921,-0.013338106967977659,-0.03380912596100496,0.0204710189930273,0.0475000000000001,-0.02102803738317749,4.18
2337,2016-10-03,2,5312151.2,4117227.3076923075,4438623.6,1,1,1,0.1968014589027105,False,False,55.18044890606134,0.005078735464609352,-0.0260315536758821,0.03111028914049145,0.08060453400503764,0.026315789473684292,4.3
2337,2016-10-04,2,7281035.4,4969791.846153846,4957992.35,1,1,1,0.46854510576241637,True,False,61.178434937885925,0.03141582015721145,-0.01454207890926339,0.045957899066474836,0.11278195488721798,0.05714285714285716,4.47
2337,2016-10-05,2,8061587.8,5489788.0,5254371.15,1,1,1,0.5342631058713847,True,False,53.92491400320336,0.040524182008597975,-0.003528826725691117,0.04405300873428909,0.05651105651105648,0.03864734299516903,4.31
2337,2016-10-06,2,7699110.8,5481754.076923077,5136879.8,-1,-1,-1,0.4987913090744307,True,True,55.93436398744694,0.051187152894914156,0.007414369198429939,0.04377278369648422,0.038186157517899666,0.0635696821515892,4.4
2337,2016-10-07,2,7827719.8,5425640.846153846,5078006.9,1,-1,-1,0.5414945182528206,True,True,56.3444408635834,0.0597557237842512,0.017882640115594192,0.04187308366865701,0.04057279236276856,0.09000000000000008,4.79
2337,2016-10-11,2,9699922.2,6412935.615384615,5515163.4,1,1,1,0.7587733121379501,True,False,55.785365692399196,0.06499029386809951,0.02730417086609526,0.03768612300200425,0.013986013986013957,0.08749999999999991,4.3
2337,2016-10-12,2,7998580.8,6593713.0,5456008.55,-1,1,-1,0.46601324515886255,True,False,56.7105241812087,0.069946264231592,0.03583258953919461,0.03411367469239739,-0.015765765765765827,0.05048076923076916,4.49
2337,2016-10-13,3,6840421.2,6629957.307692308,5495041.65,-1,1,1,0.2448351870090011,True,False,56.078690674017516,0.07223431777299982,0.04311293518595566,0.029121382587044164,0.013953488372093092,0.0660146699266504,4.36
2337,2016-10-14,unknown,6891406.4,6714106.846153846,5616110.8,1,1,1,0.2270780697560313,True,False,50.0709706413427,0.06522656122825587,0.0475356603944157,0.017690900833840173,-0.020689655172413723,0.03398058252427183,4.25
2337,2016-10-17,unknown,6477508.4,6686068.0,5635694.5,-1,-1,1,0.14937181211650152,False,True,51.19705906443677,0.06058827263931654,0.05014618284339587,0.010442089795920671,-0.01834862385321101,0.06733167082294278,4.18
2337,2016-10-18,unknown,3420858.6,6441313.153846154,5530055.3,-1,-1,-1,-0.38140607744012966,False,True,54.5116183728871,0.06105014599397318,0.05232697547351134,0.008723170520461843,-0.0022988505747125743,0.10432569974554706,4.3
