stock_id,date,open,high,low,close,volume
2303,2021-04-01,51.0,51.3,50.3,50.5,85795793
2303,2021-04-06,51.4,51.5,50.7,50.7,110723760
2303,2021-04-07,50.9,51.5,50.7,51.5,103388212
2303,2021-04-08,51.7,55.0,51.5,54.0,347099184
2303,2021-04-09,55.0,55.2,53.0,53.0,214576819
2303,2021-04-12,54.2,54.6,53.0,53.6,136214722
2303,2021-04-13,54.2,57.0,53.6,54.4,426359771
2303,2021-04-14,55.4,55.7,50.5,52.7,352171816
2303,2021-04-15,52.0,53.4,51.8,53.1,156211936
2303,2021-04-16,53.7,55.4,53.0,54.0,265218460
2303,2021-04-19,54.7,55.2,53.7,54.6,146441798
2303,2021-04-20,54.2,54.7,53.6,54.1,117157906
2303,2021-04-21,53.8,54.5,53.2,53.4,127366439
2303,2021-04-22,55.0,56.2,53.8,54.8,338155244
2303,2021-04-23,56.0,57.5,55.2,57.0,438045328
2303,2021-04-26,60.5,61.8,59.8,61.8,511527235
2303,2021-04-27,62.0,62.7,60.1,60.5,321579822
2303,2021-04-28,60.8,61.1,58.8,60.0,293373823
2303,2021-04-29,58.3,58.7,56.7,56.7,456717391
