stock_id,date,open,high,low,close,volume
2762,2026-03-02,77.9,78.6,77.3,78.5,80049
2762,2026-03-03,78.5,78.8,78.3,78.5,79111
2762,2026-03-04,78.0,78.0,76.2,77.8,100083
2762,2026-03-05,77.7,78.3,77.6,78.2,43384
2762,2026-03-06,77.9,78.3,77.9,78.1,44459
2762,2026-03-09,76.8,77.4,76.6,77.1,73566
2762,2026-03-10,77.5,79.7,77.5,79.0,117127
2762,2026-03-11,79.2,79.8,79.0,79.4,151415
2762,2026-03-12,74.6,75.6,73.7,74.9,98543
2762,2026-03-13,74.0,75.0,74.0,74.0,61008
2762,2026-03-16,74.0,74.2,73.5,74.0,21762
2762,2026-03-17,74.0,75.5,74.0,74.9,71823
2762,2026-03-18,75.3,75.3,74.6,74.9,17391
2762,2026-03-19,74.8,74.8,73.5,73.5,54072
2762,2026-03-20,73.2,73.5,73.0,73.0,35628
2762,2026-03-23,72.2,72.4,72.1,72.2,27116
2762,2026-03-24,72.2,72.5,72.0,72.0,30684
2762,2026-03-25,72.5,72.9,71.6,72.7,35653
2762,2026-03-26,72.7,72.7,72.0,72.5,14840
2762,2026-03-27,72.5,72.5,71.7,72.4,18445
2762,2026-03-30,72.0,73.0,71.9,72.3,28176
2762,2026-03-31,73.0,73.0,71.9,72.0,17452
