stock_id,date,inst_net,trust_net,foreign_net
2884,2026-07-20,30189041.0,526945.0,24102093.0
2891,2026-07-20,17913141.0,6340001.0,6376598.0
00712,2026-07-20,17437265.0,0.0,1105.0
2409,2026-07-20,15299459.0,45855.0,16469466.0
00882,2026-07-20,13873491.0,0.0,2915000.0
3231,2026-07-20,11945523.0,-1380751.0,11142193.0
3481,2026-07-20,11462992.0,-22851947.0,34660612.0
6505,2026-07-20,11117302.0,76460.0,11002422.0
2412,2026-07-20,10514028.0,987101.0,8462435.0
2382,2026-07-20,8688052.0,2091470.0,5295581.0
00940,2026-07-20,8537888.0,0.0,794240.0
2867,2026-07-20,8514700.0,0.0,6218700.0
2882,2026-07-20,7713731.0,-2505887.0,8311903.0
2618,2026-07-20,7596996.0,-6457925.0,13269522.0
5880,2026-07-20,7440555.0,-23351.0,5330969.0
2610,2026-07-20,7409917.0,6164000.0,1435561.0
00918,2026-07-20,7326807.0,0.0,3226610.0
1101,2026-07-20,7263449.0,23000.0,7053712.0
5871,2026-07-20,7091866.0,3150654.0,3547701.0
1303,2026-07-20,6610168.0,8675803.0,-5769928.0
00927,2026-07-20,6150288.0,0.0,4052365.0
5876,2026-07-20,6079164.0,-2027000.0,5897164.0
009824,2026-07-20,5958864.0,0.0,2805000.0
2881,2026-07-20,5673121.0,5882895.0,-1554649.0
6116,2026-07-20,5594450.0,0.0,5666031.0
4958,2026-07-20,5465843.0,-1258808.0,6867525.0
069289,2026-07-20,5089000.0,0.0,0.0
3045,2026-07-20,5066246.0,-759397.0,4798233.0
2880,2026-07-20,4855533.0,12696484.0,-15752639.0
009821,2026-07-20,4524285.0,0.0,6043000.0
2344,2026-07-20,4515241.0,-160970.0,2621493.0
3576,2026-07-20,4370247.0,0.0,4316247.0
2356,2026-07-20,4144538.0,-3992504.0,7341949.0
1216,2026-07-20,4114076.0,6533298.0,-5238258.0
2330,2026-07-20,4002406.0,1048697.0,-1672128.0
2317,2026-07-20,3922279.0,449800.0,60865.0
2002,2026-07-20,3854533.0,6100.0,3349234.0
068037,2026-07-20,3722000.0,0.0,0.0
00924,2026-07-20,3682327.0,0.0,-334347.0
1402,2026-07-20,3666342.0,2307943.0,1529207.0
2883,2026-07-20,3661279.0,-825373.0,-2204209.0
009805,2026-07-20,3477577.0,0.0,1371750.0
2367,2026-07-20,3465127.0,0.0,3208316.0
058642,2026-07-20,3450000.0,0.0,0.0
069699,2026-07-20,3410000.0,0.0,0.0
071469,2026-07-20,3392000.0,0.0,0.0
1802,2026-07-20,3368951.0,-3000.0,3707156.0
009819,2026-07-20,3317981.0,0.0,1284600.0
9105,2026-07-20,3314664.0,0.0,3575300.0
3042,2026-07-20,3102871.0,-389000.0,3553212.0
064514,2026-07-20,3040000.0,0.0,0.0
064774,2026-07-20,3002000.0,0.0,0.0
2886,2026-07-20,2992559.0,7047179.0,-9985009.0
2489,2026-07-20,2987729.0,-1000.0,2989736.0
066145,2026-07-20,2930000.0,0.0,0.0
00900,2026-07-20,2905252.0,0.0,1729010.0
2337,2026-07-20,2834457.0,-104000.0,2956733.0
054706,2026-07-20,2820000.0,0.0,0.0
2634,2026-07-20,2797368.0,381000.0,2051784.0
00752,2026-07-20,2764927.0,0.0,1083000.0
073898,2026-07-20,2755000.0,0.0,0.0
00939,2026-07-20,2749041.0,0.0,-478000.0
046169,2026-07-20,2736000.0,0.0,0.0
074333,2026-07-20,2732000.0,0.0,0.0
065666,2026-07-20,2707000.0,0.0,0.0
1409,2026-07-20,2696767.0,-2000.0,2814107.0
2615,2026-07-20,2694814.0,143604.0,2511923.0
073132,2026-07-20,2683000.0,0.0,0.0
2327,2026-07-20,2645733.0,-1983441.0,4851993.0
061852,2026-07-20,2624000.0,0.0,0.0
067312,2026-07-20,2613000.0,0.0,0.0
4919,2026-07-20,2604434.0,13000.0,2676514.0
065067,2026-07-20,2575000.0,0.0,0.0
4763,2026-07-20,2546107.0,719000.0,1643002.0
062652,2026-07-20,2520000.0,0.0,0.0
072538,2026-07-20,2472000.0,0.0,0.0
00892,2026-07-20,2432610.0,0.0,1187010.0
5522,2026-07-20,2409268.0,136000.0,2245268.0
070374,2026-07-20,2401000.0,0.0,0.0
058870,2026-07-20,2387000.0,0.0,0.0
2485,2026-07-20,2361028.0,-34000.0,2394962.0
4904,2026-07-20,2358962.0,-1536577.0,2621943.0
2377,2026-07-20,2313901.0,2035000.0,321307.0
2481,2026-07-20,2308499.0,0.0,2535384.0
009820,2026-07-20,2270634.0,0.0,738000.0
074802,2026-07-20,2243000.0,0.0,0.0
068264,2026-07-20,2235000.0,0.0,0.0
053870,2026-07-20,2230000.0,0.0,0.0
00713,2026-07-20,2226470.0,0.0,556995.0
3037,2026-07-20,2207801.0,137624.0,1920493.0
2105,2026-07-20,2206031.0,-3163113.0,4341307.0
2388,2026-07-20,2189160.0,-56000.0,2081516.0
063490,2026-07-20,2147000.0,0.0,0.0
9945,2026-07-20,2127721.0,0.0,2051893.0
2375,2026-07-20,2071444.0,63000.0,2047235.0
059496,2026-07-20,2038000.0,0.0,0.0
3706,2026-07-20,2020592.0,1775000.0,340356.0
040628,2026-07-20,2018000.0,0.0,0.0
4989,2026-07-20,1943902.0,0.0,1970900.0
064150,2026-07-20,1913000.0,0.0,0.0
072752,2026-07-20,1910000.0,0.0,0.0
2472,2026-07-20,1906315.0,-876000.0,2870177.0
057509,2026-07-20,1906000.0,0.0,0.0
