stock_id,date,open,high,low,close,volume
3037,2018-02-01,21.4,21.65,20.85,21.1,70291847
3037,2018-02-02,21.2,21.4,20.5,20.9,72217189
3037,2018-02-05,19.9,21.1,19.9,21.0,55874104
3037,2018-02-06,20.3,20.45,18.9,19.05,78326307
3037,2018-02-07,19.9,20.1,19.35,19.35,40042961
3037,2018-02-08,19.5,19.6,18.2,18.7,24694162
3037,2018-02-09,17.4,19.15,17.35,19.0,40828387
3037,2018-02-12,19.35,19.7,18.5,18.5,36161175
3037,2018-02-21,19.05,20.1,18.95,19.9,41733864
3037,2018-02-22,19.9,20.7,19.8,20.6,51131871
3037,2018-02-23,20.7,20.95,20.1,20.2,33386721
3037,2018-02-26,20.4,20.55,19.9,19.9,18968044
3037,2018-02-27,20.1,20.25,19.75,20.2,22071802
