stock_id,date,dividend_yield,pe_ratio,pb_ratio
2891,2017-09-01,5.14,11.44,1.33
2891,2017-09-04,5.15,11.41,1.33
2891,2017-09-05,5.13,11.47,1.34
2891,2017-09-06,5.17,11.38,1.33
2891,2017-09-07,5.22,11.26,1.31
2891,2017-09-08,5.14,11.44,1.33
2891,2017-09-11,5.15,11.41,1.33
2891,2017-09-12,5.12,11.5,1.34
2891,2017-09-13,5.14,11.44,1.33
2891,2017-09-14,5.15,11.41,1.33
2891,2017-09-15,5.12,11.5,1.34
2891,2017-09-18,5.13,11.47,1.34
2891,2017-09-19,5.15,11.41,1.33
2891,2017-09-20,5.21,11.29,1.32
2891,2017-09-21,5.19,11.32,1.32
2891,2017-09-22,5.22,11.26,1.31
2891,2017-09-25,5.28,11.15,1.3
2891,2017-09-26,5.26,11.18,1.3
2891,2017-09-27,5.24,11.24,1.31
2891,2017-09-28,5.24,11.24,1.31
2891,2017-09-29,5.26,11.18,1.3
2891,2017-09-30,5.24,11.24,1.31
