stock_id,date,dividend_yield,pe_ratio,pb_ratio
2454,2024-05-02,5.5,20.68,4.32
2454,2024-05-03,5.29,21.51,4.5
2454,2024-05-06,5.31,21.4,4.47
2454,2024-05-07,5.26,21.61,4.52
2454,2024-05-08,5.02,22.64,4.73
2454,2024-05-09,5.02,22.64,4.73
2454,2024-05-10,5.02,22.64,4.73
2454,2024-05-13,4.93,23.06,4.82
2454,2024-05-14,4.76,23.88,4.99
2454,2024-05-15,4.76,20.06,4.98
2454,2024-05-16,4.62,20.67,5.13
2454,2024-05-17,4.72,20.24,5.03
2454,2024-05-20,4.62,20.67,5.13
2454,2024-05-21,4.68,20.41,5.07
2454,2024-05-22,4.64,20.58,5.11
2454,2024-05-23,4.56,20.93,5.2
2454,2024-05-24,4.6,20.76,5.16
2454,2024-05-27,4.28,22.32,5.54
2454,2024-05-28,4.2,22.75,5.65
2454,2024-05-29,4.26,22.41,5.57
2454,2024-05-30,4.26,22.41,5.57
2454,2024-05-31,4.45,21.45,5.33
