stock_id,date,dividend_yield,pe_ratio,pb_ratio
2454,2022-04-01,8.11,12.85,3.31
2454,2022-04-06,8.28,12.59,3.25
2454,2022-04-07,8.59,12.14,3.13
2454,2022-04-08,8.69,11.99,3.09
2454,2022-04-11,8.73,11.94,3.08
2454,2022-04-12,8.67,12.02,3.1
2454,2022-04-13,8.3,12.57,3.24
2454,2022-04-14,8.48,12.29,3.17
2454,2022-04-15,8.77,11.88,3.06
2454,2022-04-18,8.76,11.89,3.07
2454,2022-04-19,8.71,11.97,3.09
2454,2022-04-20,8.53,12.22,3.15
2454,2022-04-21,8.41,12.39,3.2
2454,2022-04-22,8.55,12.19,3.15
2454,2022-04-25,8.72,11.95,3.08
2454,2022-04-26,8.76,11.89,3.07
2454,2022-04-27,9.03,11.54,2.98
2454,2022-04-28,8.82,11.82,3.05
2454,2022-04-29,8.8,11.85,3.06
