stock_id,date,dividend_yield,pe_ratio,pb_ratio
2454,2021-01-04,1.33,38.56,3.7
2454,2021-01-05,1.32,38.8,3.73
2454,2021-01-06,1.33,38.56,3.7
2454,2021-01-07,1.31,38.9,3.74
2454,2021-01-08,1.25,40.8,3.92
2454,2021-01-11,1.23,41.43,3.98
2454,2021-01-12,1.24,41.19,3.96
2454,2021-01-13,1.19,43.04,4.13
2454,2021-01-14,1.22,41.92,4.03
2454,2021-01-15,1.24,41.38,3.98
2454,2021-01-18,1.24,41.09,3.95
2454,2021-01-19,1.19,42.79,4.11
2454,2021-01-20,1.2,42.45,4.08
2454,2021-01-21,1.12,45.47,4.37
2454,2021-01-22,1.15,44.64,4.29
2454,2021-01-25,1.15,44.3,4.26
2454,2021-01-26,1.21,42.41,4.07
2454,2021-01-27,1.17,43.67,4.2
2454,2021-01-28,1.21,42.31,4.06
2454,2021-01-29,1.2,42.6,4.09
