stock_id,date,open,high,low,close,volume
3003,2025-05-02,55.7,56.7,55.3,55.5,857200
3003,2025-05-05,55.8,55.8,52.1,53.3,495744
3003,2025-05-06,53.3,54.4,53.2,54.3,278690
3003,2025-05-07,54.5,55.1,54.3,54.4,316661
3003,2025-05-08,55.2,56.7,55.2,56.2,671295
3003,2025-05-09,56.3,56.8,55.2,55.9,401721
3003,2025-05-12,56.2,56.9,56.0,56.5,657483
3003,2025-05-13,57.3,57.9,56.6,56.8,609891
3003,2025-05-14,57.2,58.0,57.2,57.9,516469
3003,2025-05-15,58.2,58.2,57.0,57.1,377403
3003,2025-05-16,56.7,57.5,56.7,56.8,377729
3003,2025-05-19,56.8,57.5,55.6,56.7,696859
3003,2025-05-20,57.1,57.5,56.2,56.3,249853
3003,2025-05-21,56.5,58.0,56.5,57.7,572867
3003,2025-05-22,57.1,57.6,56.0,56.7,578423
3003,2025-05-23,56.7,57.0,56.3,56.3,223666
3003,2025-05-26,56.0,56.6,55.7,55.9,160870
3003,2025-05-27,55.7,56.2,55.0,55.0,312549
3003,2025-05-28,55.3,55.9,54.6,54.8,206413
3003,2025-05-29,54.8,55.3,54.7,55.1,146207
