stock_id,date,open,high,low,close,volume
3003,2023-10-02,72.4,73.0,72.4,72.9,174200
3003,2023-10-03,72.9,73.8,72.2,72.4,367742
3003,2023-10-04,71.7,72.2,71.4,72.0,239534
3003,2023-10-05,72.2,72.8,71.7,71.7,224913
3003,2023-10-06,71.5,71.9,71.4,71.5,297652
3003,2023-10-11,72.5,72.9,70.5,70.5,499826
3003,2023-10-12,70.7,71.3,70.5,71.2,346521
3003,2023-10-13,70.7,71.3,70.7,70.7,227241
3003,2023-10-16,70.8,70.8,70.1,70.1,295685
3003,2023-10-17,71.5,71.8,70.6,71.0,481758
3003,2023-10-18,71.0,72.4,69.5,72.4,773656
3003,2023-10-19,70.6,71.1,69.7,69.9,620428
3003,2023-10-20,69.9,69.9,68.4,68.5,714579
3003,2023-10-23,67.8,69.1,67.8,68.6,260885
3003,2023-10-24,68.8,69.3,68.0,68.5,244914
3003,2023-10-25,68.6,69.3,68.6,68.6,357645
3003,2023-10-26,68.9,68.9,68.1,68.2,220423
3003,2023-10-27,68.8,68.8,68.0,68.0,202387
3003,2023-10-30,68.5,69.0,68.3,68.4,244638
3003,2023-10-31,68.5,68.8,66.7,66.8,503340
