stock_id,date,open,high,low,close,volume
3003,2024-07-01,75.7,76.0,74.4,74.5,302160
3003,2024-07-02,74.6,74.7,74.1,74.2,271483
3003,2024-07-03,75.0,76.6,75.0,75.2,280665
3003,2024-07-04,76.3,76.3,75.0,75.1,320553
3003,2024-07-05,75.5,76.3,75.4,76.1,261725
3003,2024-07-08,77.0,77.8,76.4,77.1,756811
3003,2024-07-09,77.6,77.6,75.6,76.3,444676
3003,2024-07-10,76.1,77.1,76.1,77.0,295744
3003,2024-07-11,77.4,77.6,76.8,77.0,415710
3003,2024-07-12,76.6,78.1,76.2,78.0,685940
3003,2024-07-15,78.4,80.2,77.6,79.5,1168729
3003,2024-07-16,80.6,81.4,79.0,79.5,946447
3003,2024-07-17,79.9,80.6,78.8,79.7,661375
3003,2024-07-18,79.5,79.5,78.3,79.5,405535
3003,2024-07-19,79.4,79.4,78.2,78.2,476919
3003,2024-07-22,78.1,78.2,75.5,76.5,457752
3003,2024-07-23,76.7,77.6,76.7,77.4,165034
3003,2024-07-26,76.2,76.5,75.2,76.5,225588
3003,2024-07-29,76.5,77.1,75.0,75.0,327713
3003,2024-07-30,75.0,76.0,74.0,75.7,249531
3003,2024-07-31,75.6,76.8,75.4,76.0,216106
