stock_id,date,dividend_yield,pe_ratio,pb_ratio
2327,2019-11-01,14.19,5.89,3.0
2327,2019-11-04,14.35,5.83,2.97
2327,2019-11-05,14.37,5.82,2.96
2327,2019-11-06,14.6,5.73,2.92
2327,2019-11-07,14.65,5.71,2.91
2327,2019-11-08,14.6,12.67,2.88
2327,2019-11-11,15.87,11.65,2.65
2327,2019-11-12,15.87,11.65,2.65
2327,2019-11-13,14.44,12.81,2.92
2327,2019-11-14,13.73,13.47,3.07
2327,2019-11-15,13.97,13.24,3.02
2327,2019-11-18,14.12,13.1,2.98
2327,2019-11-19,13.86,13.35,3.04
2327,2019-11-20,14.01,13.2,3.01
2327,2019-11-21,14.08,13.14,2.99
2327,2019-11-22,14.14,13.08,2.98
2327,2019-11-25,13.9,13.3,3.03
2327,2019-11-26,13.73,13.47,3.07
2327,2019-11-27,13.32,13.88,3.16
2327,2019-11-28,13.38,13.82,3.15
2327,2019-11-29,13.58,13.61,3.1
