stock_id,date,dividend_yield,pe_ratio,pb_ratio
2327,2026-01-02,2.07,24.15,3.15
2327,2026-01-05,2.05,24.45,3.19
2327,2026-01-06,1.97,25.4,3.31
2327,2026-01-07,1.98,25.35,3.31
2327,2026-01-08,2.11,23.8,3.11
2327,2026-01-09,2.07,24.2,3.16
2327,2026-01-12,2.02,24.8,3.24
2327,2026-01-13,1.92,26.1,3.41
2327,2026-01-14,1.8,27.91,3.64
2327,2026-01-15,1.83,27.4,3.58
2327,2026-01-16,1.77,28.36,3.7
2327,2026-01-19,1.69,29.61,3.86
2327,2026-01-20,1.73,29.01,3.79
2327,2026-01-21,1.8,27.81,3.63
2327,2026-01-22,1.69,29.66,3.87
2327,2026-01-23,1.72,29.21,3.81
2327,2026-01-26,1.74,28.76,3.75
2327,2026-01-27,1.69,29.56,3.86
2327,2026-01-28,1.75,28.61,3.73
2327,2026-01-29,1.81,27.76,3.62
2327,2026-01-30,1.8,27.81,3.63
