stock_id,date,dividend_yield,pe_ratio,pb_ratio
2327,2018-05-02,2.6,33.54,7.35
2327,2018-05-03,2.6,33.44,7.33
2327,2018-05-04,2.52,34.51,7.57
2327,2018-05-07,2.29,37.94,8.32
2327,2018-05-08,2.37,36.76,8.06
2327,2018-05-09,2.21,39.38,8.63
2327,2018-05-10,2.01,43.27,9.49
2327,2018-05-11,2.05,42.5,9.32
2327,2018-05-14,1.86,46.75,10.25
2327,2018-05-15,1.7,34.09,9.87
2327,2018-05-16,1.84,31.57,9.14
2327,2018-05-17,2.01,28.78,8.33
2327,2018-05-18,1.92,30.21,8.74
2327,2018-05-21,1.75,33.21,9.61
2327,2018-05-22,1.75,33.21,9.61
2327,2018-05-23,1.93,30.11,8.71
2327,2018-05-24,1.86,31.13,9.01
2327,2018-05-25,1.75,33.04,9.56
2327,2018-05-28,1.6,36.31,10.51
2327,2018-05-29,1.56,37.16,10.76
2327,2018-05-30,1.64,35.29,10.22
2327,2018-05-31,1.79,32.42,9.39
