stock_id,equity,year,season
2801,202033914.0,2025,2
2812,84553217.0,2025,2
2820,25916318.0,2025,2
2834,136062898.0,2025,2
2836,25673792.0,2025,2
2838,81912848.0,2025,2
2845,61096200.0,2025,2
2849,34801528.0,2025,2
2897,61418600.0,2025,2
5876,251442019.0,2025,2
2855,34258206.0,2025,2
6005,45228465.0,2025,2
6024,9610910.0,2025,2
1101,276883979.0,2025,2
1102,186197442.0,2025,2
1103,18446109.0,2025,2
1104,23105570.0,2025,2
1108,5569009.0,2025,2
1109,9656297.0,2025,2
1110,9536410.0,2025,2
1201,7259720.0,2025,2
1203,6717521.0,2025,2
1210,31465053.0,2025,2
1213,674844.0,2025,2
1215,11089896.0,2025,2
1216,183028167.0,2025,2
1217,7703760.0,2025,2
1218,12568302.0,2025,2
1219,4524006.0,2025,2
1220,2507715.0,2025,2
1225,4156735.0,2025,2
1227,17261049.0,2025,2
1229,68992428.0,2025,2
1231,6455569.0,2025,2
1232,5378084.0,2025,2
1233,1328651.0,2025,2
1234,18439221.0,2025,2
1235,2929559.0,2025,2
1236,2479664.0,2025,2
1256,3126580.0,2025,2
1301,266595428.0,2025,2
1303,330560974.0,2025,2
1304,37022477.0,2025,2
1305,8457677.0,2025,2
1307,8716402.0,2025,2
1308,10228649.0,2025,2
1309,5612430.0,2025,2
1310,7029751.0,2025,2
1312,32459234.0,2025,2
1313,24523113.0,2025,2
1314,76686105.0,2025,2
1315,8931257.0,2025,2
1316,9852842.0,2025,2
1319,26553842.0,2025,2
1321,5752818.0,2025,2
1323,2378626.0,2025,2
1324,896255.0,2025,2
1325,2641770.0,2025,2
1326,288735446.0,2025,2
1337,3577401.0,2025,2
1338,5562005.0,2025,2
1339,3915339.0,2025,2
1340,2629338.0,2025,2
1341,1115504.0,2025,2
1342,2264190.0,2025,2
1402,296608353.0,2025,2
1410,1055839.0,2025,2
1413,1114766.0,2025,2
1414,3084249.0,2025,2
1416,4110194.0,2025,2
1417,2359023.0,2025,2
1418,1217497.0,2025,2
1419,15072681.0,2025,2
1423,3412487.0,2025,2
1432,1123433.0,2025,2
1434,34727079.0,2025,2
1435,1133708.0,2025,2
1436,5882808.0,2025,2
1437,8051522.0,2025,2
1438,2883897.0,2025,2
1439,3213711.0,2025,2
1440,27140910.0,2025,2
1441,476446.0,2025,2
1442,7639652.0,2025,2
1443,1922033.0,2025,2
1444,11308073.0,2025,2
1445,2101149.0,2025,2
1446,2748696.0,2025,2
1447,8716337.0,2025,2
1449,2056973.0,2025,2
1451,6964899.0,2025,2
1452,2696695.0,2025,2
1453,1437486.0,2025,2
1454,1452149.0,2025,2
1455,5976324.0,2025,2
1456,1564948.0,2025,2
1457,8608109.0,2025,2
1459,3151402.0,2025,2
1460,5409887.0,2025,2
1463,2708656.0,2025,2
1464,5427332.0,2025,2
1465,1532686.0,2025,2
1466,1484240.0,2025,2
1467,2617955.0,2025,2
