stock_id,date,open,high,low,close,volume
1736,2024-05-02,84.4,86.0,83.3,85.3,2680216
1736,2024-05-03,85.3,85.7,83.8,85.5,1786288
1736,2024-05-06,86.2,87.7,84.4,84.6,1889790
1736,2024-05-07,81.9,87.5,81.8,87.5,2881833
1736,2024-05-08,88.0,92.5,86.9,92.4,4174679
1736,2024-05-09,92.4,93.2,89.9,91.3,2852690
1736,2024-05-10,91.3,93.5,90.7,92.1,2066549
1736,2024-05-13,90.8,91.9,88.0,88.1,2389126
1736,2024-05-14,89.6,92.5,89.0,89.9,1615948
1736,2024-05-15,89.9,91.5,88.4,91.2,1498105
1736,2024-05-16,91.1,99.3,91.1,97.9,4327502
1736,2024-05-17,96.6,97.0,93.9,94.0,1607097
1736,2024-05-20,94.0,95.1,91.2,93.0,960194
1736,2024-05-21,91.3,94.5,91.2,93.3,1117874
1736,2024-05-22,95.1,95.1,91.5,92.3,1364056
1736,2024-05-23,92.5,92.5,89.9,90.1,1198974
1736,2024-05-24,90.1,90.1,87.2,87.3,1000441
1736,2024-05-27,87.3,88.2,85.5,86.6,954342
1736,2024-05-28,87.6,87.6,85.0,86.4,799838
1736,2024-05-29,86.4,88.7,85.8,87.9,967856
1736,2024-05-30,87.2,89.9,86.5,88.0,910910
1736,2024-05-31,89.3,92.7,88.4,91.6,1517393
