stock_id,date,dividend_yield,pe_ratio,pb_ratio
2330,2021-01-04,1.77,28.3,7.78
2330,2021-01-05,1.75,28.62,7.86
2330,2021-01-06,1.73,28.99,7.96
2330,2021-01-07,1.68,29.83,8.2
2330,2021-01-08,1.64,30.62,8.41
2330,2021-01-11,1.63,30.83,8.47
2330,2021-01-12,1.61,31.2,8.57
2330,2021-01-13,1.57,31.94,8.78
2330,2021-01-14,1.6,31.26,8.59
2330,2021-01-15,1.58,31.73,8.72
2330,2021-01-18,1.57,32.05,8.81
2330,2021-01-19,1.52,33.1,9.1
2330,2021-01-20,1.47,34.16,9.39
2330,2021-01-21,1.41,35.53,9.76
2330,2021-01-22,1.46,34.27,9.42
2330,2021-01-25,1.5,33.42,9.18
2330,2021-01-26,1.54,32.58,8.95
2330,2021-01-27,1.54,32.47,8.92
2330,2021-01-28,1.58,31.73,8.72
2330,2021-01-29,1.61,31.2,8.57
