stock_id,date,dividend_yield,pe_ratio,pb_ratio
2330,2018-11-01,3.4,17.38,4.1
2330,2018-11-02,3.38,17.45,4.12
2330,2018-11-05,3.4,17.34,4.09
2330,2018-11-06,3.41,17.31,4.08
2330,2018-11-07,3.42,17.27,4.07
2330,2018-11-08,3.38,17.45,4.12
2330,2018-11-09,3.46,17.05,4.02
2330,2018-11-12,3.46,17.08,4.03
2330,2018-11-13,3.52,16.79,3.96
2330,2018-11-14,3.5,16.9,3.76
2330,2018-11-15,3.46,17.09,3.8
2330,2018-11-16,3.54,16.72,3.72
2330,2018-11-19,3.6,16.42,3.65
2330,2018-11-20,3.67,16.12,3.59
2330,2018-11-21,3.65,16.2,3.6
2330,2018-11-22,3.65,16.2,3.6
2330,2018-11-23,3.66,16.16,3.6
2330,2018-11-26,3.59,16.49,3.67
2330,2018-11-27,3.57,16.57,3.69
2330,2018-11-28,3.53,16.75,3.73
2330,2018-11-29,3.49,16.94,3.77
2330,2018-11-30,3.55,16.68,3.71
