stock_id,date,dividend_yield,pe_ratio,pb_ratio
2330,2016-12-01,3.28,15.47,3.7
2330,2016-12-02,3.37,15.05,3.6
2330,2016-12-05,3.35,15.13,3.62
2330,2016-12-06,3.3,15.38,3.68
2330,2016-12-07,3.31,15.34,3.67
2330,2016-12-08,3.23,15.68,3.75
2330,2016-12-09,3.23,15.72,3.76
2330,2016-12-12,3.24,15.64,3.74
2330,2016-12-13,3.23,15.72,3.76
2330,2016-12-14,3.2,15.85,3.79
2330,2016-12-15,3.21,15.81,3.78
2330,2016-12-16,3.24,15.64,3.74
2330,2016-12-19,3.29,15.43,3.69
2330,2016-12-20,3.29,15.43,3.69
2330,2016-12-21,3.33,15.22,3.64
2330,2016-12-22,3.35,15.13,3.62
2330,2016-12-23,3.36,15.09,3.61
2330,2016-12-26,3.34,15.17,3.63
2330,2016-12-27,3.33,15.22,3.64
2330,2016-12-28,3.3,15.38,3.68
2330,2016-12-29,3.33,15.22,3.64
2330,2016-12-30,3.31,15.34,3.67
