stock_id,date,dividend_yield,pe_ratio,pb_ratio
2330,2018-06-01,3.57,16.83,3.62
2330,2018-06-04,3.49,17.21,3.7
2330,2018-06-05,3.49,17.21,3.7
2330,2018-06-06,3.48,17.28,3.71
2330,2018-06-07,3.48,17.28,3.71
2330,2018-06-08,3.52,17.05,3.67
2330,2018-06-11,3.54,16.98,3.65
2330,2018-06-12,3.49,17.21,3.7
2330,2018-06-13,3.45,17.43,3.75
2330,2018-06-14,3.53,17.02,3.66
2330,2018-06-15,3.46,17.36,3.73
2330,2018-06-19,3.56,16.9,3.63
2330,2018-06-20,3.54,16.98,3.65
2330,2018-06-21,3.53,17.02,3.66
2330,2018-06-22,3.52,17.09,3.67
2330,2018-06-25,3.67,16.38,3.52
2330,2018-06-26,3.73,16.12,3.46
2330,2018-06-27,3.76,16.0,3.44
2330,2018-06-28,3.77,15.93,3.42
2330,2018-06-29,3.7,16.27,3.5
