stock_id,date,dividend_yield,pe_ratio,pb_ratio
3037,2016-09-01,2.31,30.23,0.46
3037,2016-09-02,2.33,29.88,0.45
3037,2016-09-05,2.33,29.88,0.45
3037,2016-09-06,2.26,30.93,0.47
3037,2016-09-07,2.25,31.05,0.47
3037,2016-09-08,2.22,31.4,0.48
3037,2016-09-09,2.25,31.05,0.47
3037,2016-09-10,2.27,30.7,0.46
3037,2016-09-12,2.3,30.35,0.46
3037,2016-09-13,2.3,30.35,0.46
3037,2016-09-14,2.33,29.88,0.45
3037,2016-09-19,2.31,30.23,0.46
3037,2016-09-20,2.3,30.35,0.46
3037,2016-09-21,2.26,30.81,0.47
3037,2016-09-22,2.26,30.93,0.47
3037,2016-09-23,2.24,31.16,0.47
3037,2016-09-26,2.25,31.05,0.47
3037,2016-09-29,2.26,30.81,0.47
3037,2016-09-30,2.26,30.81,0.47
