stock_id,date,dividend_yield,pe_ratio,pb_ratio
3037,2017-10-02,1.81,72.17,0.6
3037,2017-10-03,1.83,71.3,0.59
3037,2017-10-05,1.8,72.61,0.6
3037,2017-10-06,1.83,71.09,0.59
3037,2017-10-11,1.81,71.96,0.6
3037,2017-10-12,1.8,72.39,0.6
3037,2017-10-13,1.8,72.61,0.6
3037,2017-10-16,1.78,73.26,0.61
3037,2017-10-17,1.79,72.83,0.6
3037,2017-10-18,1.83,71.3,0.59
3037,2017-10-19,1.83,71.09,0.59
3037,2017-10-20,1.82,71.74,0.59
3037,2017-10-23,1.82,71.52,0.59
3037,2017-10-24,1.77,73.7,0.61
3037,2017-10-25,1.75,74.35,0.62
3037,2017-10-26,1.77,73.7,0.61
3037,2017-10-27,1.79,73.04,0.61
3037,2017-10-30,1.79,72.83,0.6
3037,2017-10-31,1.74,74.78,0.62
