stock_id,date,dividend_yield,pe_ratio,pb_ratio
3037,2023-06-01,4.42,9.83,2.89
3037,2023-06-02,4.4,9.88,2.91
3037,2023-06-05,4.42,9.83,2.89
3037,2023-06-06,4.52,9.61,2.83
3037,2023-06-07,4.55,9.55,2.81
3037,2023-06-08,4.79,9.07,2.67
3037,2023-06-09,4.66,9.31,2.74
3037,2023-06-12,4.64,9.36,2.76
3037,2023-06-13,4.44,9.77,2.88
3037,2023-06-14,4.43,9.8,2.88
3037,2023-06-15,4.28,10.12,2.98
3037,2023-06-16,4.22,10.29,3.03
3037,2023-06-19,4.31,10.07,2.96
3037,2023-06-20,4.24,10.23,3.01
3037,2023-06-21,4.27,10.15,2.99
3037,2023-06-26,4.44,9.77,2.88
3037,2023-06-27,4.51,9.61,2.83
3037,2023-06-28,4.62,9.39,2.76
3037,2023-06-29,4.59,9.45,2.78
3037,2023-06-30,4.54,9.55,2.81
