stock_id,date,dividend_yield,pe_ratio,pb_ratio
3037,2021-08-02,0.96,28.03,4.04
3037,2021-08-03,0.93,28.9,4.16
3037,2021-08-04,0.95,28.32,4.08
3037,2021-08-05,0.94,28.61,4.12
3037,2021-08-06,0.96,28.13,4.05
3037,2021-08-09,0.97,27.94,4.02
3037,2021-08-10,0.99,27.17,3.91
3037,2021-08-11,1.01,26.69,3.84
3037,2021-08-12,0.99,27.36,3.94
3037,2021-08-13,1.04,26.01,3.75
3037,2021-08-16,1.03,26.3,3.79
3037,2021-08-17,1.09,24.76,3.57
3037,2021-08-18,1.01,26.59,3.83
3037,2021-08-19,1.07,25.24,3.63
3037,2021-08-20,1.04,25.82,3.72
3037,2021-08-23,1.01,26.59,3.83
3037,2021-08-24,1.02,26.3,3.79
3037,2021-08-25,0.98,27.46,3.95
3037,2021-08-26,1.0,26.88,3.87
3037,2021-08-27,0.96,27.84,4.01
3037,2021-08-30,0.94,28.52,4.11
3037,2021-08-31,0.94,28.42,4.09
