stock_id,date,dividend_yield,pe_ratio,pb_ratio
3037,2025-01-02,2.04,28.21,2.42
3037,2025-01-03,2.01,28.69,2.46
3037,2025-01-06,1.98,29.08,2.49
3037,2025-01-07,1.95,29.56,2.53
3037,2025-01-08,1.96,29.37,2.51
3037,2025-01-09,2.06,27.93,2.39
3037,2025-01-10,2.07,27.83,2.38
3037,2025-01-13,2.14,26.87,2.3
3037,2025-01-14,2.14,26.97,2.31
3037,2025-01-15,2.17,26.58,2.28
3037,2025-01-16,2.11,27.26,2.33
3037,2025-01-17,2.11,27.26,2.33
3037,2025-01-20,2.13,27.06,2.32
3037,2025-01-21,2.15,26.78,2.29
3037,2025-01-22,2.16,26.68,2.28
