stock_id,date,open,high,low,close,volume
2891,2018-01-02,20.5,20.5,20.35,20.45,18651937
2891,2018-01-03,20.5,20.65,20.45,20.65,36552996
2891,2018-01-04,20.7,20.75,20.55,20.65,40321865
2891,2018-01-05,20.7,20.9,20.65,20.9,45624166
2891,2018-01-08,20.95,21.5,20.9,21.5,81930842
2891,2018-01-09,21.5,21.5,21.15,21.4,43496589
2891,2018-01-10,21.45,21.8,21.3,21.7,55478957
2891,2018-01-11,21.8,21.8,21.45,21.7,31957518
2891,2018-01-12,21.75,21.75,21.55,21.75,27218747
2891,2018-01-15,21.85,22.2,21.85,22.15,54123982
2891,2018-01-16,22.15,22.25,21.9,22.0,40224854
2891,2018-01-17,21.95,22.0,21.8,22.0,28143737
2891,2018-01-18,22.0,22.15,21.9,21.9,35139242
2891,2018-01-19,21.85,21.9,21.55,21.7,30539568
2891,2018-01-22,21.8,21.9,21.7,21.85,39079561
2891,2018-01-23,21.45,21.5,21.2,21.3,377410851
2891,2018-01-24,21.15,21.15,20.85,21.05,83240828
2891,2018-01-25,21.25,21.3,21.0,21.3,103605671
2891,2018-01-26,21.35,21.35,21.1,21.15,61104245
2891,2018-01-29,21.3,21.5,21.15,21.2,51856235
2891,2018-01-30,21.25,21.3,21.1,21.1,39117997
2891,2018-01-31,21.0,21.3,20.9,21.3,48175255
