stock_id,date,dividend_yield,pe_ratio,pb_ratio
3711,2025-02-03,3.23,21.5,2.26
3711,2025-02-04,3.3,21.03,2.21
3711,2025-02-05,3.22,21.56,2.27
3711,2025-02-06,3.23,21.5,2.26
3711,2025-02-07,3.16,21.96,2.31
3711,2025-02-10,3.12,22.23,2.34
3711,2025-02-11,3.1,22.36,2.35
3711,2025-02-12,3.14,22.1,2.32
3711,2025-02-13,3.05,22.76,2.39
3711,2025-02-14,2.97,23.36,2.45
3711,2025-02-17,2.92,23.77,2.5
3711,2025-02-18,2.91,23.9,2.51
3711,2025-02-19,2.83,24.5,2.57
3711,2025-02-20,2.9,23.97,2.52
3711,2025-02-21,2.87,24.17,2.54
3711,2025-02-24,2.95,23.5,2.47
3711,2025-02-25,2.95,23.6,2.37
3711,2025-02-26,2.96,23.46,2.36
3711,2025-02-27,3.04,22.86,2.3
