stock_id,date,dividend_yield,pe_ratio,pb_ratio
3711,2019-01-02,4.42,,1.22
3711,2019-01-03,4.46,,1.21
3711,2019-01-04,4.53,,1.19
3711,2019-01-07,4.55,,1.18
3711,2019-01-08,4.53,,1.19
3711,2019-01-09,4.44,,1.21
3711,2019-01-10,4.39,,1.23
3711,2019-01-11,4.34,,1.24
3711,2019-01-14,4.36,,1.23
3711,2019-01-15,4.27,,1.26
3711,2019-01-16,4.27,,1.26
3711,2019-01-17,4.3,,1.25
3711,2019-01-18,4.25,,1.27
3711,2019-01-21,4.25,,1.27
3711,2019-01-22,4.27,,1.26
3711,2019-01-23,4.29,,1.25
3711,2019-01-24,4.26,,1.26
3711,2019-01-25,4.13,,1.3
3711,2019-01-28,4.13,,1.3
3711,2019-01-29,4.17,,1.29
3711,2019-01-30,4.17,,1.29
