stock_id,date,dividend_yield,pe_ratio,pb_ratio
3711,2021-07-01,3.78,14.82,2.08
3711,2021-07-02,3.75,14.95,2.1
3711,2021-07-05,3.68,15.22,2.14
3711,2021-07-06,3.72,15.09,2.12
3711,2021-07-07,3.67,15.29,2.15
3711,2021-07-08,3.75,14.95,2.1
3711,2021-07-09,3.78,14.82,2.08
3711,2021-07-12,3.73,15.02,2.11
3711,2021-07-13,3.64,15.42,2.16
3711,2021-07-14,3.67,15.29,2.15
3711,2021-07-15,3.5,16.02,2.25
3711,2021-07-16,3.61,15.55,2.18
3711,2021-07-19,3.57,15.69,2.2
3711,2021-07-20,3.56,15.75,2.21
3711,2021-07-21,3.51,15.95,2.24
3711,2021-07-22,3.57,15.69,2.2
3711,2021-07-23,3.65,15.35,2.16
3711,2021-07-26,3.65,15.35,2.16
3711,2021-07-27,3.65,15.35,2.16
3711,2021-07-28,3.73,15.02,2.11
3711,2021-07-29,3.65,15.35,2.16
3711,2021-07-30,3.43,16.36,2.3
