stock_id,date,open,high,low,close,volume
2351,2019-12-02,61.2,61.2,60.3,60.5,115003
2351,2019-12-03,60.3,61.3,60.3,61.1,131310
2351,2019-12-04,61.1,61.1,60.6,60.8,114385
2351,2019-12-05,61.3,61.8,61.1,61.5,173251
2351,2019-12-06,61.5,63.0,61.3,62.1,358963
2351,2019-12-09,62.4,63.5,62.1,62.2,555005
2351,2019-12-10,62.3,62.6,61.9,62.1,145123
2351,2019-12-11,62.3,62.5,62.0,62.0,181110
2351,2019-12-12,62.5,63.4,62.5,62.9,418078
2351,2019-12-13,63.1,63.5,62.4,62.6,308856
2351,2019-12-16,62.6,64.6,62.6,64.6,924712
2351,2019-12-17,64.6,65.2,63.9,64.9,766244
2351,2019-12-18,65.2,66.5,64.8,66.0,1169683
2351,2019-12-19,66.8,66.8,64.1,64.1,936676
2351,2019-12-20,64.6,68.3,64.5,67.0,2260653
2351,2019-12-23,67.5,69.0,67.5,68.0,1430669
2351,2019-12-24,68.2,68.8,67.1,67.5,744045
2351,2019-12-25,67.0,68.0,66.6,66.7,518831
2351,2019-12-26,66.9,67.2,66.2,67.1,346645
2351,2019-12-27,67.2,67.5,66.3,66.5,325107
2351,2019-12-30,66.6,67.1,65.1,65.4,595204
2351,2019-12-31,65.4,65.9,64.5,64.9,538153
