stock_id,date,open,high,low,close,volume
2351,2017-04-05,48.0,48.1,47.55,47.8,799200
2351,2017-04-06,47.75,50.3,47.75,48.6,2361530
2351,2017-04-07,48.45,48.6,47.5,48.05,878122
2351,2017-04-10,48.05,48.65,47.6,48.3,628000
2351,2017-04-11,48.3,48.3,46.3,46.9,1979726
2351,2017-04-12,46.5,46.75,44.7,45.15,2140400
2351,2017-04-13,45.15,45.8,45.15,45.25,916057
2351,2017-04-14,45.3,45.3,43.1,43.3,2032300
2351,2017-04-17,43.55,43.75,42.2,43.0,2031203
2351,2017-04-18,43.7,44.4,43.6,44.1,1350100
2351,2017-04-19,44.0,44.95,43.8,44.1,1183034
2351,2017-04-20,44.15,44.45,43.25,43.35,891225
2351,2017-04-21,44.2,44.25,43.6,43.85,552457
2351,2017-04-24,44.2,44.8,43.9,44.4,622020
2351,2017-04-25,44.7,45.95,44.7,45.2,1632177
2351,2017-04-26,45.7,45.7,44.75,45.6,874300
2351,2017-04-27,45.6,45.65,45.0,45.5,664000
2351,2017-04-28,45.4,49.35,45.3,49.3,4958880
