stock_id,date,dividend_yield,pe_ratio,pb_ratio
2308,2026-05-04,0.52,81.86,19.25
2308,2026-05-05,0.54,79.83,18.77
2308,2026-05-06,0.52,81.49,19.16
2308,2026-05-07,0.51,84.07,19.77
2308,2026-05-08,0.53,81.12,19.08
2308,2026-05-11,0.52,82.78,19.47
2308,2026-05-12,0.53,80.94,19.03
2308,2026-05-13,0.54,79.83,18.77
2308,2026-05-14,0.54,79.46,18.69
2308,2026-05-15,0.56,76.51,17.99
2308,2026-05-18,0.57,74.48,17.52
2308,2026-05-19,0.61,70.61,16.61
2308,2026-05-20,0.61,70.61,16.61
2308,2026-05-21,0.57,74.85,17.6
2308,2026-05-22,0.55,77.25,18.17
2308,2026-05-25,0.51,84.44,19.86
2308,2026-05-26,0.49,86.65,20.38
2308,2026-05-27,0.46,92.92,21.85
2308,2026-05-28,0.49,88.13,20.72
2308,2026-05-29,0.47,90.15,21.2
