stock_id,date,dividend_yield,pe_ratio,pb_ratio
2308,2022-04-01,2.05,26.02,4.51
2308,2022-04-06,2.09,25.53,4.42
2308,2022-04-07,2.11,25.29,4.38
2308,2022-04-08,2.11,25.29,4.38
2308,2022-04-11,2.2,24.27,4.2
2308,2022-04-12,2.21,24.08,4.17
2308,2022-04-13,2.15,24.76,4.29
2308,2022-04-14,2.17,24.52,4.25
2308,2022-04-15,2.2,24.18,4.19
2308,2022-04-18,2.22,23.98,4.15
2308,2022-04-19,2.22,23.98,4.15
2308,2022-04-20,2.19,24.32,4.21
2308,2022-04-21,2.17,24.52,4.25
2308,2022-04-22,2.24,23.84,4.13
2308,2022-04-25,2.33,22.92,3.97
2308,2022-04-26,2.18,24.42,4.23
2308,2022-04-27,2.24,23.74,4.11
2308,2022-04-28,2.23,24.36,3.84
2308,2022-04-29,2.2,24.7,3.9
