stock_id,date,dividend_yield,pe_ratio,pb_ratio
2308,2019-08-01,3.27,15.87,2.94
2308,2019-08-02,3.28,15.82,2.93
2308,2019-08-05,3.37,15.4,2.86
2308,2019-08-06,3.37,15.4,2.86
2308,2019-08-07,3.34,15.51,2.88
2308,2019-08-08,3.32,15.61,2.9
2308,2019-08-12,3.36,15.46,2.87
2308,2019-08-13,3.38,15.35,2.85
2308,2019-08-14,3.36,15.46,2.87
2308,2019-08-15,3.39,15.3,2.84
2308,2019-08-16,3.41,15.2,2.82
2308,2019-08-19,3.38,15.35,2.85
2308,2019-08-20,3.29,15.77,2.92
2308,2019-08-21,3.33,15.56,2.89
2308,2019-08-22,3.34,15.51,2.88
2308,2019-08-23,3.37,15.4,2.86
2308,2019-08-26,3.45,15.04,2.79
2308,2019-08-27,3.44,15.09,2.8
2308,2019-08-28,3.46,14.99,2.78
2308,2019-08-29,3.48,14.89,2.76
2308,2019-08-30,3.41,15.2,2.82
