stock_id,date,dividend_yield,pe_ratio,pb_ratio
2308,2019-04-01,3.21,22.29,3.11
2308,2019-04-02,3.17,22.5,3.14
2308,2019-04-03,3.13,22.86,3.19
2308,2019-04-08,3.03,23.57,3.29
2308,2019-04-09,3.05,23.43,3.27
2308,2019-04-10,3.01,23.71,3.31
2308,2019-04-11,3.02,23.64,3.3
2308,2019-04-12,3.07,23.29,3.25
2308,2019-04-15,3.09,23.14,3.23
2308,2019-04-16,3.09,23.14,3.23
2308,2019-04-17,3.09,23.14,3.23
2308,2019-04-18,3.11,23.0,3.21
2308,2019-04-19,3.14,22.71,3.17
2308,2019-04-22,3.13,22.86,3.19
2308,2019-04-23,3.12,22.93,3.2
2308,2019-04-24,3.13,22.86,3.19
2308,2019-04-25,3.08,23.21,3.24
2308,2019-04-26,3.11,23.0,3.21
2308,2019-04-29,3.09,23.14,3.23
2308,2019-04-30,3.08,22.48,3.13
