stock_id,date,open,high,low,close,volume
3711,2022-10-03,78.9,79.3,77.1,77.1,16185666
3711,2022-10-04,78.7,80.0,78.3,79.8,13458695
3711,2022-10-05,82.0,83.5,81.3,81.9,21662993
3711,2022-10-06,82.6,83.0,82.0,82.8,12345798
3711,2022-10-07,82.1,82.7,81.3,82.0,9985575
3711,2022-10-11,78.0,78.0,74.6,74.6,30297562
3711,2022-10-12,73.7,74.6,72.5,73.2,20976848
3711,2022-10-13,73.3,74.1,71.5,72.4,17183778
3711,2022-10-14,74.4,76.2,74.4,75.8,16191423
3711,2022-10-17,74.6,76.3,74.2,76.2,12957210
3711,2022-10-18,77.5,77.8,75.0,76.1,22542582
3711,2022-10-19,75.3,76.1,74.7,74.9,12228866
3711,2022-10-20,73.9,76.2,73.8,76.0,19824975
3711,2022-10-21,76.0,77.4,75.5,76.3,11259389
3711,2022-10-24,77.9,78.4,77.5,77.7,10772045
3711,2022-10-25,78.0,78.0,75.9,77.3,14580513
3711,2022-10-26,77.6,77.9,76.6,76.9,9378531
3711,2022-10-27,77.4,78.8,77.1,78.7,10921788
3711,2022-10-28,79.0,80.7,78.3,80.7,17573476
3711,2022-10-31,81.0,81.2,78.7,80.4,13695554
