stock_id,ocf,year,season
2801,6510880.0,2025,2
2812,8871893.0,2025,2
2820,-1745318.0,2025,2
2834,46373088.0,2025,2
2836,5952034.0,2025,2
2838,11103772.0,2025,2
2845,-16957682.0,2025,2
2849,-470117.0,2025,2
2897,-4797919.0,2025,2
5876,-25621536.0,2025,2
2855,27219513.0,2025,2
6005,21307081.0,2025,2
6024,682060.0,2025,2
1101,11637296.0,2025,2
1102,5374001.0,2025,2
1103,177047.0,2025,2
1104,355359.0,2025,2
1108,815676.0,2025,2
1109,322589.0,2025,2
1110,11630.0,2025,2
1201,543561.0,2025,2
1203,650792.0,2025,2
1210,2929237.0,2025,2
1213,-118181.0,2025,2
1215,2022005.0,2025,2
1216,28807410.0,2025,2
1217,-309502.0,2025,2
1218,-69520.0,2025,2
1219,522395.0,2025,2
1220,266007.0,2025,2
1225,819355.0,2025,2
1227,31604.0,2025,2
1229,963393.0,2025,2
1231,88359.0,2025,2
1232,1038169.0,2025,2
1233,96208.0,2025,2
1234,96387.0,2025,2
1235,-83718.0,2025,2
1236,12165.0,2025,2
1256,311576.0,2025,2
1301,-1035309.0,2025,2
1303,6637302.0,2025,2
1304,371948.0,2025,2
1305,-410947.0,2025,2
1307,538896.0,2025,2
1308,35614.0,2025,2
1309,317464.0,2025,2
1310,-192541.0,2025,2
1312,-850901.0,2025,2
1313,58227.0,2025,2
1314,-2379393.0,2025,2
1315,-28742.0,2025,2
1316,-556707.0,2025,2
1319,3035517.0,2025,2
1321,254941.0,2025,2
1323,132570.0,2025,2
1324,13958.0,2025,2
1325,-47466.0,2025,2
1326,10020173.0,2025,2
1337,-218931.0,2025,2
1338,-56405.0,2025,2
1339,282198.0,2025,2
1340,-16894.0,2025,2
1341,244669.0,2025,2
1342,270858.0,2025,2
1402,17873255.0,2025,2
1410,19679.0,2025,2
1413,202757.0,2025,2
1414,173213.0,2025,2
1416,45038.0,2025,2
1417,-31361.0,2025,2
1418,-496341.0,2025,2
1419,147451.0,2025,2
1423,5996.0,2025,2
1432,197579.0,2025,2
1434,1091736.0,2025,2
1435,-22703.0,2025,2
1436,-1095869.0,2025,2
1437,-18456.0,2025,2
1438,-521740.0,2025,2
1439,55114.0,2025,2
1440,1499584.0,2025,2
1441,122484.0,2025,2
1442,637459.0,2025,2
1443,24372.0,2025,2
1444,-447419.0,2025,2
1445,16980.0,2025,2
1446,513748.0,2025,2
1447,-130421.0,2025,2
1449,71285.0,2025,2
1451,-329180.0,2025,2
1452,-287659.0,2025,2
1453,-193819.0,2025,2
1454,-16145.0,2025,2
1455,624139.0,2025,2
1456,-253939.0,2025,2
1457,762003.0,2025,2
1459,75759.0,2025,2
1460,982584.0,2025,2
1463,-351280.0,2025,2
1464,866001.0,2025,2
1465,-370134.0,2025,2
1466,69304.0,2025,2
1467,-201650.0,2025,2
1468,81675.0,2025,2
1470,24438.0,2025,2
1471,-34629.0,2025,2
1472,538556.0,2025,2
1473,374826.0,2025,2
1474,95476.0,2025,2
1475,-127904.0,2025,2
1476,3741731.0,2025,2
1477,2299885.0,2025,2
1503,1277534.0,2025,2
1504,1625046.0,2025,2
1506,36495.0,2025,2
1512,-145745.0,2025,2
1513,4429196.0,2025,2
1514,-265540.0,2025,2
1515,58449.0,2025,2
1516,-20251.0,2025,2
1517,-41037.0,2025,2
1519,2378724.0,2025,2
1521,38760.0,2025,2
1522,858381.0,2025,2
1524,380019.0,2025,2
1525,-115379.0,2025,2
1526,131351.0,2025,2
1527,146496.0,2025,2
1528,82740.0,2025,2
1529,292037.0,2025,2
1530,36405.0,2025,2
1531,211592.0,2025,2
1532,137245.0,2025,2
1533,60503.0,2025,2
1535,187216.0,2025,2
1536,524887.0,2025,2
1537,612417.0,2025,2
1538,14001.0,2025,2
1539,30997.0,2025,2
1540,-48856.0,2025,2
1541,31191.0,2025,2
1558,385841.0,2025,2
1560,788087.0,2025,2
1563,341310.0,2025,2
1568,164922.0,2025,2
1582,-177241.0,2025,2
1583,-50184.0,2025,2
1587,145124.0,2025,2
1589,-746905.0,2025,2
1590,3075068.0,2025,2
1597,53592.0,2025,2
1598,-207383.0,2025,2
1603,-631541.0,2025,2
1604,-35296.0,2025,2
1605,2216981.0,2025,2
1608,-210916.0,2025,2
1609,256075.0,2025,2
1611,168914.0,2025,2
1612,760244.0,2025,2
1614,113019.0,2025,2
1615,137059.0,2025,2
1616,536144.0,2025,2
1617,-47568.0,2025,2
1618,144231.0,2025,2
1623,-110321.0,2025,2
1626,167797.0,2025,2
1702,442928.0,2025,2
1707,846728.0,2025,2
1708,658886.0,2025,2
1709,295935.0,2025,2
1710,460080.0,2025,2
1711,318867.0,2025,2
1712,358133.0,2025,2
1713,-109878.0,2025,2
1714,669940.0,2025,2
1717,1907862.0,2025,2
1720,731181.0,2025,2
1721,114720.0,2025,2
1722,833355.0,2025,2
1723,375376.0,2025,2
1725,-82657.0,2025,2
1726,811699.0,2025,2
1727,23917.0,2025,2
1730,225503.0,2025,2
1731,49518.0,2025,2
1732,5469.0,2025,2
1733,68674.0,2025,2
1734,180795.0,2025,2
1735,36821.0,2025,2
1736,997506.0,2025,2
1737,159852.0,2025,2
1752,233669.0,2025,2
1760,109410.0,2025,2
1762,50579.0,2025,2
1773,1120525.0,2025,2
1776,100497.0,2025,2
1783,110919.0,2025,2
1786,121600.0,2025,2
1789,226757.0,2025,2
1795,3660300.0,2025,2
1802,1350915.0,2025,2
1805,-282821.0,2025,2
1806,63253.0,2025,2
1808,-3428158.0,2025,2
1809,18443.0,2025,2
1810,125362.0,2025,2
1817,306774.0,2025,2
1903,-8763.0,2025,2
1904,2356660.0,2025,2
1905,-360741.0,2025,2
1906,4543.0,2025,2
1907,-129030.0,2025,2
1909,670132.0,2025,2
2002,32086929.0,2025,2
2006,2960564.0,2025,2
2007,-350556.0,2025,2
2008,60350.0,2025,2
2009,79554.0,2025,2
2010,-126753.0,2025,2
2012,726913.0,2025,2
2013,694072.0,2025,2
2014,1175221.0,2025,2
2015,2613590.0,2025,2
2017,40598.0,2025,2
2020,-1156687.0,2025,2
2022,454096.0,2025,2
2023,1010703.0,2025,2
2024,30580.0,2025,2
2025,-422141.0,2025,2
2027,1773937.0,2025,2
2028,1088879.0,2025,2
2029,515949.0,2025,2
2030,814006.0,2025,2
2031,-26467.0,2025,2
2032,-92451.0,2025,2
2033,20105.0,2025,2
2034,-770208.0,2025,2
2038,480465.0,2025,2
2049,1652320.0,2025,2
2059,4325575.0,2025,2
2062,760206.0,2025,2
2069,981165.0,2025,2
2072,2899453.0,2025,2
2101,-1383858.0,2025,2
2102,-59621.0,2025,2
2103,1291638.0,2025,2
2104,1070053.0,2025,2
2105,6922061.0,2025,2
2106,1005999.0,2025,2
2107,97397.0,2025,2
2108,288370.0,2025,2
2109,207600.0,2025,2
2114,272397.0,2025,2
2115,229440.0,2025,2
2201,9165756.0,2025,2
2204,109673.0,2025,2
2206,-11696.0,2025,2
2208,-1530581.0,2025,2
2211,122955.0,2025,2
2227,-420033.0,2025,2
2228,308971.0,2025,2
2231,55309.0,2025,2
2233,269048.0,2025,2
2236,13317.0,2025,2
2239,1579649.0,2025,2
2241,22347.0,2025,2
2243,-68647.0,2025,2
2247,1454540.0,2025,2
2248,116149.0,2025,2
2250,170566.0,2025,2
2254,156426.0,2025,2
2258,-1108809.0,2025,2
2301,4136890.0,2025,2
2302,28920.0,2025,2
2303,45923736.0,2025,2
2305,-1408.0,2025,2
2308,43593574.0,2025,2
2312,7249794.0,2025,2
2313,5255664.0,2025,2
2314,-204063.0,2025,2
2316,314905.0,2025,2
2317,21875585.0,2025,2
2321,-20072.0,2025,2
2323,-1582053.0,2025,2
2324,28248106.0,2025,2
2327,12407311.0,2025,2
2328,141973.0,2025,2
2329,235012.0,2025,2
2330,1122637757.0,2025,2
2331,255541.0,2025,2
2332,222799.0,2025,2
2337,366520.0,2025,2
2338,1682218.0,2025,2
2340,-525710.0,2025,2
2342,100472.0,2025,2
2344,2830076.0,2025,2
2345,6308447.0,2025,2
2347,17487445.0,2025,2
2348,-1405139.0,2025,2
2349,-459065.0,2025,2
2351,149120.0,2025,2
2352,3301573.0,2025,2
2353,2269621.0,2025,2
2354,-1947870.0,2025,2
2355,1057646.0,2025,2
2356,-6512639.0,2025,2
2357,24444290.0,2025,2
2359,3336.0,2025,2
2360,2741609.0,2025,2
2362,-2925843.0,2025,2
2363,238593.0,2025,2
2364,71886.0,2025,2
2365,27399.0,2025,2
2367,1402985.0,2025,2
2368,2089870.0,2025,2
2369,-48259.0,2025,2
2371,29588.0,2025,2
2373,181975.0,2025,2
2374,2413.0,2025,2
2375,550181.0,2025,2
2376,4707012.0,2025,2
2377,2094271.0,2025,2
2379,14092236.0,2025,2
2380,78950.0,2025,2
2382,42037828.0,2025,2
2383,3327358.0,2025,2
2385,3532351.0,2025,2
2387,585596.0,2025,2
2388,-1526234.0,2025,2
2390,-6725.0,2025,2
2392,-6175198.0,2025,2
2393,1467387.0,2025,2
2395,2954421.0,2025,2
2397,455675.0,2025,2
2399,-17674.0,2025,2
2401,-34312.0,2025,2
2402,737720.0,2025,2
2404,11104786.0,2025,2
2405,-1417.0,2025,2
2406,632249.0,2025,2
2408,-2697895.0,2025,2
2409,5118098.0,2025,2
2412,29282911.0,2025,2
2413,251873.0,2025,2
2414,281568.0,2025,2
2415,-569290.0,2025,2
2417,-154887.0,2025,2
2419,-154835.0,2025,2
2420,317285.0,2025,2
2421,1200831.0,2025,2
2423,246954.0,2025,2
2424,24369.0,2025,2
2425,-321810.0,2025,2
2426,142105.0,2025,2
2427,488663.0,2025,2
2428,1003217.0,2025,2
2429,-7596.0,2025,2
2430,444968.0,2025,2
2431,-9469.0,2025,2
2432,-28935.0,2025,2
2433,588376.0,2025,2
2434,-24028.0,2025,2
2436,25733.0,2025,2
2438,-104120.0,2025,2
2439,1046583.0,2025,2
2440,-24542.0,2025,2
2441,2370341.0,2025,2
2442,-937125.0,2025,2
2444,-86737.0,2025,2
2449,2646837.0,2025,2
2450,509691.0,2025,2
2451,747751.0,2025,2
2453,-89088.0,2025,2
2454,59091662.0,2025,2
2455,238036.0,2025,2
2457,-415802.0,2025,2
2458,1045808.0,2025,2
2459,361983.0,2025,2
2460,-72034.0,2025,2
2461,-688.0,2025,2
2462,-98302.0,2025,2
2464,-471063.0,2025,2
2465,154190.0,2025,2
2466,-46352.0,2025,2
2467,60949.0,2025,2
