stock_id,date,dividend_yield,pe_ratio,pb_ratio
2317,2026-06-01,2.45,20.85,2.31
2317,2026-06-02,2.39,21.41,2.37
2317,2026-06-03,2.33,21.95,2.43
2317,2026-06-04,2.46,20.81,2.3
2317,2026-06-05,2.53,20.21,2.24
2317,2026-06-08,2.67,19.14,2.12
2317,2026-06-09,2.59,19.71,2.18
2317,2026-06-10,2.74,18.68,2.07
2317,2026-06-11,2.79,18.36,2.03
2317,2026-06-12,2.76,18.5,2.05
2317,2026-06-15,2.69,19.0,2.1
2317,2026-06-16,2.68,19.11,2.12
2317,2026-06-17,2.65,19.32,2.14
2317,2026-06-18,2.68,19.07,2.11
2317,2026-06-22,2.68,19.07,2.11
2317,2026-06-23,2.77,18.43,2.04
2317,2026-06-24,2.81,18.18,2.01
2317,2026-06-25,2.8,18.29,2.03
2317,2026-06-26,2.89,17.65,1.95
2317,2026-06-29,2.91,17.51,1.94
2317,2026-06-30,2.86,17.83,1.97
