stock_id,date,dividend_yield,pe_ratio,pb_ratio
2317,2020-03-02,5.05,8.43,0.91
2317,2020-03-03,4.94,8.63,0.93
2317,2020-03-04,4.9,8.7,0.94
2317,2020-03-05,4.84,8.81,0.95
2317,2020-03-06,4.95,8.6,0.93
2317,2020-03-09,5.06,8.42,0.91
2317,2020-03-10,5.04,8.46,0.91
2317,2020-03-11,5.09,8.37,0.9
2317,2020-03-12,5.35,7.96,0.86
2317,2020-03-13,5.36,7.94,0.86
2317,2020-03-16,5.63,7.57,0.82
2317,2020-03-17,5.67,7.52,0.81
2317,2020-03-18,5.71,7.45,0.8
2317,2020-03-19,6.03,7.06,0.76
2317,2020-03-20,5.65,7.54,0.81
2317,2020-03-23,5.93,7.19,0.78
2317,2020-03-24,5.76,7.39,0.8
2317,2020-03-25,5.6,7.6,0.82
2317,2020-03-26,5.63,7.56,0.82
2317,2020-03-27,5.71,7.47,0.81
2317,2020-03-30,5.71,7.45,0.8
2317,2020-03-31,5.72,7.44,0.8
