stock_id,date,open,high,low,close,volume
2308,2022-07-01,220.5,227.0,219.0,221.5,8490123
2308,2022-07-04,218.0,221.5,214.0,219.0,7115072
2308,2022-07-05,222.0,224.5,217.5,220.5,6868597
2308,2022-07-06,221.0,222.5,210.5,210.5,7356320
2308,2022-07-07,215.5,223.5,213.0,221.0,7628167
2308,2022-07-08,221.5,229.5,220.0,227.5,7396934
2308,2022-07-11,227.0,230.0,227.0,229.5,3607082
2308,2022-07-12,230.5,233.0,229.5,231.0,5352617
2308,2022-07-13,239.0,243.0,237.0,239.5,11478333
2308,2022-07-14,239.5,244.0,238.5,239.5,9231421
2308,2022-07-15,241.0,247.0,239.0,245.0,8337631
2308,2022-07-18,247.0,248.5,244.5,245.0,6454944
2308,2022-07-19,246.0,248.0,245.0,246.0,4058648
2308,2022-07-20,248.5,251.0,248.0,249.0,5998691
2308,2022-07-21,252.0,252.0,247.0,250.0,5954625
2308,2022-07-22,248.5,250.5,246.0,248.0,6404851
2308,2022-07-25,245.0,251.0,244.5,250.5,5645128
2308,2022-07-26,250.0,252.0,247.0,249.0,3565803
2308,2022-07-27,249.0,254.0,247.5,254.0,5613526
2308,2022-07-28,259.0,265.0,258.0,262.0,11733773
2308,2022-07-29,263.5,263.5,256.5,258.0,8407316
