stock_id,date,dividend_yield,pe_ratio,pb_ratio
2303,2017-12-01,3.26,18.06,0.88
2303,2017-12-04,3.18,18.47,0.9
2303,2017-12-05,3.22,18.29,0.89
2303,2017-12-06,3.33,17.65,0.86
2303,2017-12-07,3.41,17.24,0.84
2303,2017-12-08,3.41,17.24,0.84
2303,2017-12-11,3.3,17.82,0.87
2303,2017-12-12,3.34,17.59,0.86
2303,2017-12-13,3.38,17.41,0.85
2303,2017-12-14,3.36,17.53,0.85
2303,2017-12-15,3.41,17.24,0.84
2303,2017-12-18,3.45,17.06,0.83
2303,2017-12-19,3.44,17.12,0.83
2303,2017-12-20,3.42,17.18,0.84
2303,2017-12-21,3.46,17.0,0.83
2303,2017-12-22,3.47,16.94,0.82
2303,2017-12-25,3.46,17.0,0.83
2303,2017-12-26,3.56,16.53,0.8
2303,2017-12-27,3.52,16.71,0.81
2303,2017-12-28,3.5,16.82,0.82
2303,2017-12-29,3.52,16.71,0.81
