stock_id,date,dividend_yield,pe_ratio,pb_ratio
2303,2021-11-01,2.78,14.01,2.78
2303,2021-11-02,2.71,14.36,2.84
2303,2021-11-03,2.7,14.4,2.85
2303,2021-11-04,2.73,14.26,2.82
2303,2021-11-05,2.65,14.7,2.91
2303,2021-11-08,2.56,15.21,3.01
2303,2021-11-09,2.54,15.35,3.04
2303,2021-11-10,2.54,15.35,3.04
2303,2021-11-11,2.57,15.13,3.0
2303,2021-11-12,2.56,15.23,3.02
2303,2021-11-15,2.52,15.43,3.06
2303,2021-11-16,2.54,15.33,3.04
2303,2021-11-17,2.52,15.47,3.07
2303,2021-11-18,2.54,15.35,3.04
2303,2021-11-19,2.46,15.84,3.14
2303,2021-11-22,2.47,15.74,3.12
2303,2021-11-23,2.53,15.38,3.05
2303,2021-11-24,2.54,15.35,3.04
2303,2021-11-25,2.54,15.33,3.04
2303,2021-11-26,2.56,15.21,3.01
2303,2021-11-29,2.56,15.18,3.01
2303,2021-11-30,2.51,15.5,3.07
