stock_id,date,dividend_yield,pe_ratio,pb_ratio
2383,2020-08-03,3.45,15.33,4.21
2383,2020-08-04,3.39,15.59,4.28
2383,2020-08-05,3.34,15.81,4.34
2383,2020-08-06,3.43,15.42,4.23
2383,2020-08-07,3.45,15.33,4.21
2383,2020-08-10,3.55,14.89,4.09
2383,2020-08-11,3.52,15.02,4.13
2383,2020-08-12,3.52,15.02,4.13
2383,2020-08-13,3.55,14.89,4.09
2383,2020-08-14,3.52,15.02,4.13
2383,2020-08-17,3.53,14.98,4.11
2383,2020-08-18,3.57,14.8,4.06
2383,2020-08-19,3.58,14.76,4.05
2383,2020-08-20,3.75,14.1,3.87
2383,2020-08-21,3.5,15.11,4.15
2383,2020-08-24,3.49,15.15,4.16
2383,2020-08-25,3.29,15.42,4.23
2383,2020-08-26,3.27,15.51,4.26
2383,2020-08-27,3.29,15.42,4.23
2383,2020-08-28,3.37,15.07,4.14
2383,2020-08-31,3.39,14.98,4.11
