stock_id,date,dividend_yield,pe_ratio,pb_ratio
2383,2023-02-01,5.29,12.09,3.0
2383,2023-02-02,5.35,11.96,2.97
2383,2023-02-03,5.26,12.16,3.02
2383,2023-02-06,5.48,11.68,2.9
2383,2023-02-07,5.43,11.77,2.92
2383,2023-02-08,5.42,11.8,2.93
2383,2023-02-09,5.26,12.16,3.02
2383,2023-02-10,5.26,12.16,3.02
2383,2023-02-13,5.22,12.25,3.04
2383,2023-02-14,5.28,12.12,3.01
2383,2023-02-15,5.35,11.96,2.97
2383,2023-02-16,5.25,12.19,3.03
2383,2023-02-17,5.33,12.0,2.98
2383,2023-02-20,5.25,12.19,3.03
2383,2023-02-21,5.21,12.28,3.05
2383,2023-02-22,5.39,11.87,2.95
2383,2023-02-23,5.41,12.14,2.79
2383,2023-02-24,5.25,12.5,2.87
