stock_id,date,margin_bal,short_bal
0050,2026-07-21,57630.0,48.0
0051,2026-07-21,3.0,0.0
0052,2026-07-21,12222.0,97.0
0053,2026-07-21,14.0,0.0
0055,2026-07-21,101.0,0.0
0056,2026-07-21,10531.0,14.0
0057,2026-07-21,0.0,0.0
0061,2026-07-21,15.0,0.0
006203,2026-07-21,0.0,0.0
006204,2026-07-21,0.0,0.0
006205,2026-07-21,78.0,1.0
006206,2026-07-21,8.0,0.0
006207,2026-07-21,2.0,0.0
006208,2026-07-21,413.0,1.0
00636,2026-07-21,150.0,0.0
00639,2026-07-21,478.0,7.0
00643,2026-07-21,949.0,0.0
00645,2026-07-21,20.0,0.0
00646,2026-07-21,74.0,2.0
00652,2026-07-21,48.0,0.0
00657,2026-07-21,11.0,0.0
00660,2026-07-21,0.0,0.0
00661,2026-07-21,70.0,0.0
00662,2026-07-21,1296.0,10.0
00668,2026-07-21,0.0,0.0
00678,2026-07-21,26.0,0.0
00690,2026-07-21,95.0,0.0
00692,2026-07-21,95.0,0.0
00700,2026-07-21,168.0,0.0
00701,2026-07-21,19.0,0.0
00702,2026-07-21,1.0,0.0
00703,2026-07-21,12.0,0.0
00709,2026-07-21,4.0,0.0
00712,2026-07-21,14851.0,11.0
00713,2026-07-21,170.0,0.0
00714,2026-07-21,16.0,0.0
00717,2026-07-21,0.0,0.0
00728,2026-07-21,2.0,0.0
00730,2026-07-21,6.0,0.0
00731,2026-07-21,2.0,0.0
00733,2026-07-21,47.0,0.0
00735,2026-07-21,3752.0,425.0
00736,2026-07-21,0.0,0.0
00737,2026-07-21,50.0,0.0
00739,2026-07-21,0.0,0.0
00752,2026-07-21,570.0,12.0
00757,2026-07-21,245.0,16.0
00762,2026-07-21,63.0,0.0
00770,2026-07-21,44.0,0.0
00771,2026-07-21,1.0,0.0
00783,2026-07-21,351.0,0.0
00830,2026-07-21,5038.0,672.0
00850,2026-07-21,14.0,0.0
00851,2026-07-21,2.0,0.0
00861,2026-07-21,28.0,0.0
00875,2026-07-21,1.0,0.0
00876,2026-07-21,16.0,0.0
00878,2026-07-21,2695.0,36.0
00881,2026-07-21,1254.0,4.0
00882,2026-07-21,3152.0,5.0
00885,2026-07-21,796.0,133.0
00891,2026-07-21,5189.0,35.0
00892,2026-07-21,2015.0,16.0
00893,2026-07-21,70.0,23.0
00894,2026-07-21,610.0,21.0
00895,2026-07-21,69.0,8.0
00896,2026-07-21,1620.0,0.0
00897,2026-07-21,277.0,0.0
00898,2026-07-21,112.0,0.0
00899,2026-07-21,66.0,0.0
00900,2026-07-21,369.0,3.0
00901,2026-07-21,3.0,0.0
00902,2026-07-21,2500.0,10.0
00903,2026-07-21,20.0,0.0
00904,2026-07-21,617.0,6.0
00905,2026-07-21,455.0,0.0
00907,2026-07-21,439.0,0.0
00908,2026-07-21,0.0,0.0
00909,2026-07-21,1083.0,22.0
00910,2026-07-21,2171.0,8.0
00911,2026-07-21,158.0,0.0
00912,2026-07-21,156.0,0.0
00913,2026-07-21,1383.0,9.0
00915,2026-07-21,33.0,0.0
00916,2026-07-21,640.0,0.0
00917,2026-07-21,85.0,0.0
00918,2026-07-21,4517.0,35.0
00919,2026-07-21,8012.0,115.0
00920,2026-07-21,28.0,0.0
00921,2026-07-21,1.0,0.0
00922,2026-07-21,1605.0,1.0
00923,2026-07-21,209.0,0.0
00924,2026-07-21,141.0,0.0
00926,2026-07-21,21.0,0.0
00927,2026-07-21,16418.0,16.0
00929,2026-07-21,6024.0,11.0
00930,2026-07-21,22.0,0.0
00932,2026-07-21,72.0,0.0
00934,2026-07-21,706.0,0.0
00935,2026-07-21,5618.0,132.0
00936,2026-07-21,15.0,0.0
00938,2026-07-21,7.0,0.0
00939,2026-07-21,164.0,0.0
00940,2026-07-21,1573.0,64.0
00941,2026-07-21,245.0,1.0
00943,2026-07-21,27.0,0.0
00944,2026-07-21,7.0,0.0
00946,2026-07-21,546.0,0.0
00947,2026-07-21,5203.0,24.0
00949,2026-07-21,83.0,0.0
00951,2026-07-21,1419.0,14.0
00952,2026-07-21,670.0,0.0
00954,2026-07-21,1690.0,2.0
00956,2026-07-21,70.0,0.0
00960,2026-07-21,83.0,0.0
00961,2026-07-21,2794.0,0.0
00962,2026-07-21,116.0,0.0
00963,2026-07-21,12.0,0.0
00964,2026-07-21,57.0,0.0
00965,2026-07-21,1707.0,41.0
00971,2026-07-21,15.0,0.0
00972,2026-07-21,2.0,0.0
009800,2026-07-21,1457.0,21.0
009801,2026-07-21,20.0,0.0
009802,2026-07-21,1080.0,5.0
009803,2026-07-21,439.0,10.0
009804,2026-07-21,1007.0,24.0
009805,2026-07-21,16179.0,0.0
009808,2026-07-21,44.0,0.0
009809,2026-07-21,5.0,0.0
009810,2026-07-21,2.0,0.0
009811,2026-07-21,74.0,35.0
009812,2026-07-21,4.0,0.0
009813,2026-07-21,77.0,0.0
009816,2026-07-21,33656.0,696.0
009817,2026-07-21,101.0,0.0
009818,2026-07-21,12.0,0.0
009819,2026-07-21,5316.0,39.0
009820,2026-07-21,2725.0,5.0
009821,2026-07-21,10355.0,2.0
009824,2026-07-21,2466.0,0.0
1101,2026-07-21,33054.0,144.0
1102,2026-07-21,1329.0,0.0
1103,2026-07-21,4120.0,0.0
1104,2026-07-21,1608.0,0.0
1108,2026-07-21,448.0,44.0
1109,2026-07-21,276.0,0.0
1110,2026-07-21,2745.0,0.0
1201,2026-07-21,1505.0,0.0
1203,2026-07-21,2.0,0.0
1210,2026-07-21,620.0,3.0
1213,2026-07-21,0.0,0.0
1215,2026-07-21,414.0,2.0
1216,2026-07-21,491.0,7.0
1217,2026-07-21,940.0,2.0
1218,2026-07-21,1489.0,118.0
1219,2026-07-21,510.0,105.0
1220,2026-07-21,862.0,0.0
1225,2026-07-21,6933.0,10.0
1227,2026-07-21,930.0,0.0
1229,2026-07-21,3164.0,10.0
1231,2026-07-21,240.0,0.0
1232,2026-07-21,324.0,0.0
1233,2026-07-21,19.0,0.0
1234,2026-07-21,16.0,0.0
1235,2026-07-21,1175.0,0.0
1236,2026-07-21,182.0,0.0
1256,2026-07-21,317.0,4.0
1301,2026-07-21,26402.0,525.0
1303,2026-07-21,45395.0,922.0
1304,2026-07-21,11782.0,0.0
1305,2026-07-21,7009.0,0.0
1307,2026-07-21,1353.0,1.0
1308,2026-07-21,6509.0,0.0
1309,2026-07-21,8422.0,0.0
1310,2026-07-21,13764.0,29.0
1312,2026-07-21,29548.0,118.0
1313,2026-07-21,11047.0,200.0
1314,2026-07-21,78172.0,446.0
1315,2026-07-21,17.0,0.0
1316,2026-07-21,10925.0,28.0
1319,2026-07-21,6939.0,25.0
1321,2026-07-21,7192.0,0.0
1323,2026-07-21,80.0,0.0
1324,2026-07-21,1276.0,0.0
1325,2026-07-21,2162.0,15.0
1326,2026-07-21,37826.0,696.0
1337,2026-07-21,21378.0,0.0
1338,2026-07-21,3905.0,0.0
1339,2026-07-21,853.0,0.0
1340,2026-07-21,1000.0,0.0
1342,2026-07-21,618.0,0.0
1402,2026-07-21,7515.0,74.0
1409,2026-07-21,24383.0,201.0
1410,2026-07-21,308.0,0.0
1413,2026-07-21,0.0,0.0
1414,2026-07-21,1187.0,0.0
1416,2026-07-21,3292.0,0.0
1417,2026-07-21,1907.0,0.0
1418,2026-07-21,762.0,0.0
1419,2026-07-21,1222.0,0.0
1423,2026-07-21,87.0,0.0
1432,2026-07-21,161.0,38.0
1434,2026-07-21,8013.0,2.0
1435,2026-07-21,0.0,0.0
1436,2026-07-21,1008.0,0.0
1437,2026-07-21,2334.0,0.0
1438,2026-07-21,150.0,0.0
1439,2026-07-21,1053.0,0.0
1440,2026-07-21,5629.0,3.0
1441,2026-07-21,0.0,0.0
1442,2026-07-21,2866.0,8.0
1443,2026-07-21,31.0,0.0
1444,2026-07-21,570.0,0.0
1445,2026-07-21,1377.0,5.0
1446,2026-07-21,1647.0,2.0
1447,2026-07-21,931.0,0.0
1449,2026-07-21,3131.0,0.0
1451,2026-07-21,759.0,0.0
1452,2026-07-21,109.0,0.0
1453,2026-07-21,1045.0,1.0
1454,2026-07-21,2168.0,0.0
1455,2026-07-21,3138.0,0.0
1456,2026-07-21,780.0,0.0
1457,2026-07-21,710.0,1.0
1459,2026-07-21,473.0,0.0
1460,2026-07-21,0.0,0.0
1463,2026-07-21,440.0,0.0
1464,2026-07-21,2070.0,0.0
1465,2026-07-21,3311.0,0.0
1466,2026-07-21,2869.0,50.0
1467,2026-07-21,6364.0,15.0
1468,2026-07-21,0.0,0.0
1470,2026-07-21,6.0,0.0
1471,2026-07-21,0.0,0.0
1472,2026-07-21,3898.0,2.0
1473,2026-07-21,843.0,0.0
1474,2026-07-21,3369.0,0.0
1475,2026-07-21,455.0,0.0
1476,2026-07-21,924.0,15.0
1477,2026-07-21,1543.0,4.0
1503,2026-07-21,3009.0,0.0
1504,2026-07-21,31010.0,96.0
1506,2026-07-21,0.0,0.0
1512,2026-07-21,0.0,0.0
1513,2026-07-21,7899.0,16.0
1514,2026-07-21,6670.0,516.0
1515,2026-07-21,3234.0,134.0
1516,2026-07-21,2.0,0.0
1517,2026-07-21,2107.0,14.0
1519,2026-07-21,3298.0,10.0
1521,2026-07-21,448.0,0.0
1522,2026-07-21,4358.0,1.0
1524,2026-07-21,4227.0,15.0
1525,2026-07-21,232.0,0.0
1526,2026-07-21,793.0,19.0
1527,2026-07-21,562.0,0.0
1528,2026-07-21,6803.0,53.0
1529,2026-07-21,3028.0,339.0
1530,2026-07-21,292.0,0.0
1531,2026-07-21,1698.0,1.0
1532,2026-07-21,2751.0,0.0
1533,2026-07-21,485.0,9.0
1535,2026-07-21,60.0,0.0
1536,2026-07-21,8321.0,164.0
1537,2026-07-21,57.0,0.0
1538,2026-07-21,0.0,0.0
1539,2026-07-21,1377.0,0.0
1540,2026-07-21,1692.0,0.0
1541,2026-07-21,112.0,0.0
1558,2026-07-21,249.0,0.0
1560,2026-07-21,1726.0,30.0
1563,2026-07-21,7547.0,1.0
1568,2026-07-21,2463.0,0.0
1582,2026-07-21,4215.0,6.0
1583,2026-07-21,66.0,0.0
1587,2026-07-21,1940.0,22.0
1589,2026-07-21,793.0,0.0
1590,2026-07-21,112.0,0.0
1597,2026-07-21,2644.0,21.0
1598,2026-07-21,2092.0,0.0
1603,2026-07-21,2195.0,10.0
1604,2026-07-21,221.0,0.0
1605,2026-07-21,52518.0,671.0
1608,2026-07-21,8391.0,0.0
1609,2026-07-21,13505.0,26.0
1611,2026-07-21,3299.0,5.0
1612,2026-07-21,1862.0,55.0
1614,2026-07-21,343.0,0.0
1615,2026-07-21,173.0,0.0
1616,2026-07-21,3189.0,0.0
1617,2026-07-21,2084.0,0.0
1618,2026-07-21,3575.0,32.0
1626,2026-07-21,1662.0,0.0
1702,2026-07-21,300.0,0.0
1707,2026-07-21,358.0,20.0
1708,2026-07-21,7221.0,76.0
1709,2026-07-21,16686.0,19.0
1710,2026-07-21,14148.0,501.0
1711,2026-07-21,18647.0,77.0
1712,2026-07-21,458.0,0.0
1713,2026-07-21,2992.0,1.0
1714,2026-07-21,14312.0,116.0
1717,2026-07-21,20750.0,263.0
1718,2026-07-21,15755.0,343.0
1720,2026-07-21,330.0,0.0
