stock_id,date,margin_bal,short_bal
0050,2026-07-23,48790.0,107.0
0051,2026-07-23,3.0,0.0
0052,2026-07-23,11667.0,88.0
0053,2026-07-23,14.0,0.0
0055,2026-07-23,49.0,0.0
0056,2026-07-23,8589.0,20.0
0057,2026-07-23,0.0,0.0
0061,2026-07-23,15.0,0.0
006203,2026-07-23,0.0,0.0
006204,2026-07-23,0.0,0.0
006205,2026-07-23,75.0,1.0
006206,2026-07-23,8.0,0.0
006207,2026-07-23,2.0,0.0
006208,2026-07-23,391.0,3.0
00636,2026-07-23,147.0,0.0
00639,2026-07-23,475.0,8.0
00643,2026-07-23,882.0,0.0
00645,2026-07-23,20.0,0.0
00646,2026-07-23,73.0,2.0
00652,2026-07-23,43.0,0.0
00657,2026-07-23,0.0,0.0
00660,2026-07-23,0.0,0.0
00661,2026-07-23,10.0,0.0
00662,2026-07-23,1247.0,10.0
00668,2026-07-23,0.0,0.0
00678,2026-07-23,26.0,0.0
00690,2026-07-23,80.0,0.0
00692,2026-07-23,93.0,0.0
00700,2026-07-23,186.0,0.0
00701,2026-07-23,20.0,0.0
00702,2026-07-23,0.0,0.0
00703,2026-07-23,12.0,0.0
00709,2026-07-23,4.0,0.0
00712,2026-07-23,15397.0,12.0
00713,2026-07-23,159.0,0.0
00714,2026-07-23,31.0,0.0
00717,2026-07-23,0.0,0.0
00728,2026-07-23,2.0,0.0
00730,2026-07-23,3.0,0.0
00731,2026-07-23,2.0,0.0
00733,2026-07-23,49.0,0.0
00735,2026-07-23,3810.0,436.0
00736,2026-07-23,0.0,0.0
00737,2026-07-23,50.0,0.0
00739,2026-07-23,0.0,0.0
00752,2026-07-23,573.0,12.0
00757,2026-07-23,219.0,7.0
00762,2026-07-23,117.0,0.0
00770,2026-07-23,49.0,0.0
00771,2026-07-23,1.0,0.0
00783,2026-07-23,349.0,0.0
00830,2026-07-23,4812.0,704.0
00850,2026-07-23,14.0,0.0
00851,2026-07-23,2.0,0.0
00861,2026-07-23,28.0,0.0
00875,2026-07-23,0.0,0.0
00876,2026-07-23,14.0,0.0
00878,2026-07-23,2650.0,35.0
00881,2026-07-23,1282.0,4.0
00882,2026-07-23,3023.0,5.0
00885,2026-07-23,890.0,127.0
00891,2026-07-23,5792.0,38.0
00892,2026-07-23,1967.0,18.0
