stock_id,date,open,high,low,close,volume,wave_label_realtime,label_basis_last_confirmed_date,mv_short,mv_mid,mv_long,mv_short_direction,mv_mid_direction,mv_long_direction,mv_bias,is_volume_burst,mv_mid_is_core_veto_line,mv_mid_veto_active,price_volume_divergence,wave3_tidal_burst
2383,2016-07-18,74.0,74.6,73.1,73.1,2624540,unknown,,,,,0,0,0,,False,True,False,False,False
2383,2016-07-19,73.1,73.6,70.7,71.3,4868014,unknown,2016-07-19,,,,0,0,0,,False,True,False,False,False
2383,2016-07-20,71.3,72.4,70.5,72.0,3708318,unknown,2016-07-19,,,,0,0,0,,False,True,False,False,False
2383,2016-07-21,72.2,74.4,71.7,73.7,2711427,1,2016-07-21,,,,0,0,0,,False,True,False,False,False
2383,2016-07-22,73.7,74.3,72.8,72.8,2266904,1,2016-07-21,3235840.6,,,0,0,0,,False,True,False,False,False
2383,2016-07-25,73.5,73.5,71.1,71.4,2199260,1,2016-07-21,3150784.6,,,-1,0,0,,False,True,False,False,False
2383,2016-07-26,71.4,71.7,70.9,71.7,2240455,1,2016-07-21,2625272.8,,,-1,0,0,,False,True,False,False,False
2383,2016-07-27,72.2,72.7,71.4,72.1,1681283,1,2016-07-21,2219865.8,,,-1,0,0,,False,True,False,False,False
2383,2016-07-28,72.0,73.4,72.0,73.1,2127944,1,2016-07-21,2103169.2,,,-1,0,0,,False,True,False,False,False
2383,2016-07-29,73.1,73.3,71.6,72.5,2106407,1,2016-07-21,2071069.8,,,-1,0,0,,False,True,False,False,False
2383,2016-08-01,72.7,74.2,71.8,73.9,2297941,1,2016-07-21,2090806.0,,,1,0,0,,False,True,False,False,False
2383,2016-08-02,74.0,74.0,72.9,73.0,1988127,1,2016-07-21,2040340.4,,,-1,0,0,,False,True,False,False,False
2383,2016-08-03,74.4,79.5,74.2,78.9,12556069,1,2016-07-21,4215297.6,3336668.3846153845,,1,0,0,,False,True,False,False,False
2383,2016-08-04,80.1,80.2,78.1,78.3,5620775,1,2016-07-21,4913863.8,3567148.0,,1,1,0,,False,True,False,False,False
2383,2016-08-05,79.0,81.8,78.3,80.1,5914540,1,2016-07-21,5675490.4,3647650.0,,1,1,0,,False,True,False,False,False
2383,2016-08-08,80.8,84.4,80.1,83.1,7411266,1,2016-07-21,6698155.4,3932492.153846154,,1,1,0,,False,True,False,False,False
2383,2016-08-09,83.4,84.6,82.1,82.3,5760955,1,2016-07-21,7452721.0,4167071.230769231,,1,1,0,,False,True,False,False,False
2383,2016-08-10,82.8,86.9,82.5,84.0,7211075,1,2016-07-21,6383722.2,4547392.076923077,,-1,1,0,,False,True,False,False,False
2383,2016-08-11,84.5,85.7,79.8,81.8,5854997,2,2016-08-11,6430566.6,4828602.615384615,,1,1,0,,False,True,False,False,False
2383,2016-08-12,82.8,83.4,81.1,81.8,2916580,2,2016-08-11,5830974.6,4880612.230769231,4203343.85,-1,1,0,0.3872228416430885,True,True,False,False,False
2383,2016-08-15,82.0,84.1,81.8,83.2,3217666,3,2016-08-15,4992254.6,4998795.538461538,4233000.15,-1,1,1,0.17936556179899954,False,True,False,False,False
2383,2016-08-16,83.5,83.5,81.9,82.0,4553069,3,2016-08-15,4750677.4,5185343.615384615,4217252.9,-1,1,-1,0.1264862489038776,False,True,False,False,False
2383,2016-08-17,81.2,81.8,79.9,81.1,3951349,3,2016-08-15,4098732.2,5327262.230769231,4229404.45,-1,1,1,-0.03089613479741815,False,True,False,False,False
2383,2016-08-18,80.9,81.5,79.8,80.0,3580117,unknown,2016-08-18,3643756.2,5425891.153846154,4272838.95,-1,1,1,-0.14722828483858486,False,True,False,False,False
2383,2016-08-19,80.8,81.5,80.0,81.3,2397659,unknown,2016-08-18,3539972.0,5457393.615384615,4279376.7,-1,1,1,-0.1727832700495846,False,True,False,False,False
2383,2016-08-22,81.3,81.9,80.9,81.4,2132068,unknown,2016-08-18,3322852.4,4655547.384615385,4276017.1,-1,-1,-1,-0.22290946872031914,False,True,True,False,False
2383,2016-08-23,81.4,84.4,81.3,83.9,4712086,2,2016-08-23,3354655.8,4585648.230769231,4399598.65,1,-1,1,-0.23750867593342873,False,True,True,False,False
2383,2016-08-24,84.4,84.7,83.1,83.3,6178520,2,2016-08-23,3800090.0,4605954.384615385,4624460.5,1,1,1,-0.1782630644158384,False,True,False,False,False
2383,2016-08-25,79.9,81.2,79.4,80.5,6697915,2,2016-08-25,4423649.6,4551081.230769231,4852959.05,1,-1,1,-0.08846343964101655,False,True,True,False,False
2383,2016-08-26,81.9,85.0,81.8,85.0,10549804,1,2016-08-26,6054078.6,4919454.230769231,5275128.9,1,1,1,0.14766458123895299,False,True,False,False,False
2383,2016-08-29,84.7,84.8,82.9,83.5,4561611,1,2016-08-26,6539987.2,4715649.307692308,5388312.4,1,-1,1,0.21373571435835825,True,True,True,False,False
2383,2016-08-30,84.1,87.9,83.8,86.7,7240218,1,2016-08-26,7045613.6,4822204.769230769,5650916.95,1,1,1,0.2468089094814956,True,True,False,False,False
2383,2016-08-31,86.9,88.5,85.5,86.6,4866023,1,2016-08-26,6783114.2,4972161.923076923,5266414.65,-1,1,-1,0.28799470812652395,True,True,False,False,False
2383,2016-09-01,86.2,86.5,85.5,85.7,2044599,1,2016-08-26,5852451.0,4881926.0,5087605.85,-1,-1,-1,0.15033498516792543,False,True,True,False,False
2383,2016-09-02,86.3,87.2,84.0,84.4,4215695,2,2016-09-02,4585629.2,4855974.153846154,5002663.6,-1,-1,-1,-0.0833624711443719,False,True,True,False,False
2383,2016-09-05,86.1,88.0,85.3,86.7,3304019,2,2016-09-02,4334110.8,4806179.538461538,4797301.25,-1,-1,-1,-0.09655229593930548,False,True,True,False,False
