stock_id,date,open,high,low,close,volume
1436,2019-07-01,41.45,41.5,41.4,41.45,37000
1436,2019-07-02,41.45,41.45,41.45,41.45,3000
1436,2019-07-03,41.35,42.0,41.35,41.95,20105
1436,2019-07-04,41.95,42.3,41.3,41.3,28750
1436,2019-07-05,41.3,42.0,41.3,41.5,26500
1436,2019-07-08,41.5,41.95,41.45,41.5,24453
1436,2019-07-09,41.5,41.85,41.5,41.7,19295
1436,2019-07-10,41.4,41.4,41.3,41.3,10050
1436,2019-07-11,41.4,41.8,41.3,41.5,17208
1436,2019-07-12,41.8,41.8,41.4,41.4,12118
1436,2019-07-15,41.5,42.35,41.5,42.0,42100
1436,2019-07-16,42.3,42.55,42.0,42.0,55919
1436,2019-07-17,42.2,42.2,42.0,42.2,56300
1436,2019-07-18,42.1,42.4,42.1,42.35,30550
1436,2019-07-19,42.4,43.4,42.4,42.7,83370
1436,2019-07-22,43.15,43.15,42.7,42.7,15000
1436,2019-07-23,42.7,42.7,42.6,42.6,11200
1436,2019-07-24,42.25,42.25,42.25,42.25,2000
1436,2019-07-25,42.35,42.35,42.0,42.0,9050
1436,2019-07-26,42.0,42.0,41.8,41.9,10050
1436,2019-07-29,41.95,42.35,41.9,42.25,24451
1436,2019-07-30,42.3,42.55,42.25,42.3,32005
1436,2019-07-31,42.35,42.5,42.3,42.4,48161
