stock_id,date,inst_net,trust_net,foreign_net
6770,2026-07-16,59355100.0,12160000.0,
2834,2026-07-16,29989746.0,-26441.0,
8150,2026-07-16,27977253.0,-207000.0,
00712,2026-07-16,23669487.0,0.0,
2002,2026-07-16,15648513.0,-57000.0,
9904,2026-07-16,14777693.0,-1372363.0,
2883,2026-07-16,14029626.0,-639382.0,
1402,2026-07-16,13796255.0,1062389.0,
2412,2026-07-16,13403067.0,-308016.0,
1101,2026-07-16,13394754.0,-17000.0,
6505,2026-07-16,9555977.0,2519000.0,
3045,2026-07-16,9165413.0,-3207182.0,
00713,2026-07-16,9004393.0,0.0,
2867,2026-07-16,8999000.0,0.0,
2105,2026-07-16,8824047.0,-2020459.0,
2353,2026-07-16,8579758.0,-145304.0,
2884,2026-07-16,7891952.0,23019.0,
2812,2026-07-16,7733455.0,-13504.0,
2891,2026-07-16,7426533.0,-9782470.0,
2317,2026-07-16,6987181.0,-1056129.0,
4904,2026-07-16,6842372.0,-1925448.0,
5880,2026-07-16,6727787.0,-325685.0,
2886,2026-07-16,6577609.0,-4118679.0,
3576,2026-07-16,6501599.0,0.0,
1301,2026-07-16,6240675.0,-19000.0,
5876,2026-07-16,5652800.0,1115000.0,
2449,2026-07-16,5232786.0,567504.0,
2014,2026-07-16,5048000.0,0.0,
2880,2026-07-16,4982645.0,-5022398.0,
1314,2026-07-16,4494663.0,0.0,
2801,2026-07-16,4454551.0,-43778.0,
5871,2026-07-16,4412898.0,763000.0,
8028,2026-07-16,4074243.0,-59000.0,
071469,2026-07-16,3784000.0,0.0,
3231,2026-07-16,3763718.0,-6615442.0,
00940,2026-07-16,3599189.0,0.0,
2356,2026-07-16,3590027.0,-3950701.0,
053606,2026-07-16,3585000.0,0.0,
2836,2026-07-16,3482891.0,-4000.0,
074423,2026-07-16,3463000.0,0.0,
072674,2026-07-16,3460000.0,0.0,
074802,2026-07-16,3352000.0,0.0,
075000,2026-07-16,3297000.0,0.0,
2006,2026-07-16,3053046.0,353000.0,
3481,2026-07-16,2864571.0,1134443.0,
061904,2026-07-16,2817000.0,0.0,
2618,2026-07-16,2811212.0,-5354703.0,
2609,2026-07-16,2789303.0,15864.0,
2646,2026-07-16,2786744.0,-4000.0,
009820,2026-07-16,2698979.0,0.0,
070186,2026-07-16,2667000.0,0.0,
073130,2026-07-16,2656000.0,0.0,
2892,2026-07-16,2648462.0,38973.0,
074153,2026-07-16,2638000.0,0.0,
073531,2026-07-16,2574000.0,0.0,
6141,2026-07-16,2561794.0,0.0,
073131,2026-07-16,2537000.0,0.0,
071928,2026-07-16,2515000.0,0.0,
2603,2026-07-16,2501260.0,-375821.0,
2104,2026-07-16,2103386.0,0.0,
075520,2026-07-16,2067000.0,0.0,
069488,2026-07-16,2046000.0,0.0,
3413,2026-07-16,2043625.0,88000.0,
067254,2026-07-16,1986000.0,0.0,
067661,2026-07-16,1971000.0,0.0,
073561,2026-07-16,1894000.0,0.0,
2845,2026-07-16,1879303.0,646000.0,
1312,2026-07-16,1850499.0,0.0,
057223,2026-07-16,1841000.0,0.0,
061472,2026-07-16,1824000.0,0.0,
067599,2026-07-16,1801000.0,0.0,
9945,2026-07-16,1797359.0,0.0,
009824,2026-07-16,1780755.0,0.0,
072939,2026-07-16,1739000.0,0.0,
6213,2026-07-16,1734718.0,-26000.0,
2527,2026-07-16,1689120.0,0.0,
071603,2026-07-16,1683000.0,0.0,
071533,2026-07-16,1680000.0,0.0,
075511,2026-07-16,1630000.0,0.0,
064316,2026-07-16,1620000.0,0.0,
2201,2026-07-16,1588991.0,-3000.0,
072757,2026-07-16,1566000.0,0.0,
3026,2026-07-16,1560864.0,90000.0,
067638,2026-07-16,1551000.0,0.0,
6919,2026-07-16,1550800.0,-3000.0,
063859,2026-07-16,1548000.0,0.0,
070730,2026-07-16,1543000.0,0.0,
070465,2026-07-16,1540000.0,0.0,
069853,2026-07-16,1489000.0,0.0,
069184,2026-07-16,1480000.0,0.0,
053113,2026-07-16,1453000.0,0.0,
047888,2026-07-16,1447000.0,0.0,
00900,2026-07-16,1443881.0,0.0,
062296,2026-07-16,1419000.0,0.0,
2486,2026-07-16,1409318.0,169000.0,
2633,2026-07-16,1406050.0,345000.0,
055145,2026-07-16,1399000.0,0.0,
075503,2026-07-16,1355000.0,0.0,
074106,2026-07-16,1350000.0,0.0,
066854,2026-07-16,1309000.0,0.0,
2501,2026-07-16,1307741.0,0.0,
072938,2026-07-16,1292000.0,0.0,
1210,2026-07-16,1282486.0,381000.0,
057025,2026-07-16,1256000.0,0.0,
055232,2026-07-16,1239000.0,0.0,
070289,2026-07-16,1213000.0,0.0,
070769,2026-07-16,1212000.0,0.0,
00916,2026-07-16,1208439.0,0.0,
8422,2026-07-16,1199412.0,44000.0,
070722,2026-07-16,1197000.0,0.0,
074697,2026-07-16,1177000.0,0.0,
2903,2026-07-16,1147000.0,-4000.0,
1718,2026-07-16,1142533.0,0.0,
1714,2026-07-16,1139499.0,0.0,
059036,2026-07-16,1136000.0,0.0,
9941,2026-07-16,1134689.0,0.0,
066793,2026-07-16,1114000.0,0.0,
064156,2026-07-16,1109000.0,0.0,
054845,2026-07-16,1101000.0,0.0,
068654,2026-07-16,1100000.0,0.0,
009813,2026-07-16,1090030.0,0.0,
057759,2026-07-16,1086000.0,0.0,
064207,2026-07-16,1077000.0,0.0,
1504,2026-07-16,1070079.0,92671.0,
070297,2026-07-16,1065000.0,0.0,
5434,2026-07-16,1063593.0,210107.0,
065760,2026-07-16,1061000.0,0.0,
2347,2026-07-16,1057042.0,-2129000.0,
2101,2026-07-16,1054924.0,0.0,
2504,2026-07-16,1054002.0,-4000.0,
064541,2026-07-16,1039000.0,0.0,
070556,2026-07-16,1038000.0,0.0,
00752,2026-07-16,1037683.0,0.0,
070992,2026-07-16,1036000.0,0.0,
073918,2026-07-16,1036000.0,0.0,
070094,2026-07-16,1035000.0,0.0,
068039,2026-07-16,1028000.0,0.0,
073840,2026-07-16,1028000.0,0.0,
072602,2026-07-16,1018000.0,0.0,
071587,2026-07-16,1017000.0,0.0,
8039,2026-07-16,1012808.0,0.0,
066010,2026-07-16,1008000.0,0.0,
069665,2026-07-16,1008000.0,0.0,
065911,2026-07-16,1005000.0,0.0,
042551,2026-07-16,1003000.0,0.0,
068271,2026-07-16,1002000.0,0.0,
074293,2026-07-16,1000000.0,0.0,
1229,2026-07-16,995881.0,-5000.0,
051269,2026-07-16,995000.0,0.0,
053505,2026-07-16,994000.0,0.0,
055584,2026-07-16,991000.0,0.0,
00939,2026-07-16,990116.0,0.0,
064460,2026-07-16,985000.0,0.0,
2467,2026-07-16,984828.0,-2711.0,
053112,2026-07-16,984000.0,0.0,
8105,2026-07-16,974000.0,0.0,
072648,2026-07-16,963000.0,0.0,
056040,2026-07-16,956000.0,0.0,
4938,2026-07-16,948419.0,-1884000.0,
057187,2026-07-16,933000.0,0.0,
059059,2026-07-16,922000.0,0.0,
067581,2026-07-16,918000.0,0.0,
058902,2026-07-16,911000.0,0.0,
067147,2026-07-16,904000.0,0.0,
072756,2026-07-16,901000.0,0.0,
061190,2026-07-16,898000.0,0.0,
064239,2026-07-16,887000.0,0.0,
063052,2026-07-16,883000.0,0.0,
071696,2026-07-16,870000.0,0.0,
061581,2026-07-16,865000.0,0.0,
052718,2026-07-16,864000.0,0.0,
068992,2026-07-16,860000.0,0.0,
2441,2026-07-16,857453.0,122000.0,
073072,2026-07-16,855000.0,0.0,
058442,2026-07-16,853000.0,0.0,
070976,2026-07-16,852000.0,0.0,
1907,2026-07-16,851850.0,-6000.0,
072936,2026-07-16,844000.0,0.0,
8081,2026-07-16,837750.0,64000.0,
071006,2026-07-16,823000.0,0.0,
071038,2026-07-16,816000.0,0.0,
1215,2026-07-16,806418.0,0.0,
074675,2026-07-16,806000.0,0.0,
071057,2026-07-16,801000.0,0.0,
066307,2026-07-16,798000.0,0.0,
064830,2026-07-16,794000.0,0.0,
072529,2026-07-16,791000.0,0.0,
069504,2026-07-16,787000.0,0.0,
071088,2026-07-16,780000.0,0.0,
056875,2026-07-16,773000.0,0.0,
057540,2026-07-16,770000.0,0.0,
3149,2026-07-16,768599.0,0.0,
051123,2026-07-16,767000.0,0.0,
048185,2026-07-16,766000.0,0.0,
058792,2026-07-16,763000.0,0.0,
068294,2026-07-16,758000.0,0.0,
044615,2026-07-16,757000.0,0.0,
059270,2026-07-16,751000.0,0.0,
071501,2026-07-16,750000.0,0.0,
059748,2026-07-16,742000.0,0.0,
058932,2026-07-16,742000.0,0.0,
075495,2026-07-16,740000.0,0.0,
2106,2026-07-16,739000.0,-4000.0,
066501,2026-07-16,739000.0,0.0,
061274,2026-07-16,738000.0,0.0,
059651,2026-07-16,737000.0,0.0,
070136,2026-07-16,736000.0,0.0,
2442,2026-07-16,736000.0,0.0,
067877,2026-07-16,736000.0,0.0,
068556,2026-07-16,734000.0,0.0,
068667,2026-07-16,731000.0,0.0,
070381,2026-07-16,731000.0,0.0,
7799,2026-07-16,727923.0,0.0,
1808,2026-07-16,722649.0,0.0,
073246,2026-07-16,720000.0,0.0,
4763,2026-07-16,716322.0,436000.0,
073934,2026-07-16,713000.0,0.0,
072420,2026-07-16,712000.0,0.0,
056789,2026-07-16,709000.0,0.0,
2913,2026-07-16,708908.0,0.0,
062080,2026-07-16,708000.0,0.0,
070434,2026-07-16,707000.0,0.0,
068613,2026-07-16,705000.0,0.0,
049288,2026-07-16,705000.0,0.0,
2897,2026-07-16,702768.0,0.0,
3056,2026-07-16,692940.0,0.0,
060140,2026-07-16,690000.0,0.0,
2890,2026-07-16,685326.0,-6779624.0,
075004,2026-07-16,684000.0,0.0,
068144,2026-07-16,682000.0,0.0,
2548,2026-07-16,677416.0,0.0,
070470,2026-07-16,676000.0,0.0,
2455,2026-07-16,673736.0,2000.0,
3711,2026-07-16,670802.0,1277367.0,
073240,2026-07-16,669000.0,0.0,
070960,2026-07-16,667000.0,0.0,
061323,2026-07-16,664000.0,0.0,
070949,2026-07-16,659000.0,0.0,
057509,2026-07-16,657000.0,0.0,
057188,2026-07-16,656000.0,0.0,
1723,2026-07-16,653205.0,0.0,
009819,2026-07-16,650877.0,0.0,
068712,2026-07-16,647000.0,0.0,
063740,2026-07-16,646000.0,0.0,
067592,2026-07-16,644000.0,0.0,
063651,2026-07-16,642000.0,0.0,
6243,2026-07-16,640988.0,0.0,
068026,2026-07-16,640000.0,0.0,
074511,2026-07-16,636000.0,0.0,
053419,2026-07-16,632000.0,0.0,
071993,2026-07-16,628000.0,0.0,
9907,2026-07-16,626943.0,-1287000.0,
2539,2026-07-16,626916.0,0.0,
070814,2026-07-16,625000.0,0.0,
072015,2026-07-16,623000.0,0.0,
073700,2026-07-16,621000.0,0.0,
068756,2026-07-16,617000.0,0.0,
053534,2026-07-16,616000.0,0.0,
052120,2026-07-16,612000.0,0.0,
071147,2026-07-16,612000.0,0.0,
060067,2026-07-16,611000.0,0.0,
056963,2026-07-16,604000.0,0.0,
072019,2026-07-16,600000.0,0.0,
070788,2026-07-16,600000.0,0.0,
070567,2026-07-16,600000.0,0.0,
033844,2026-07-16,600000.0,0.0,
058131,2026-07-16,599000.0,0.0,
065977,2026-07-16,598000.0,0.0,
063227,2026-07-16,596000.0,0.0,
052987,2026-07-16,595000.0,0.0,
067083,2026-07-16,593000.0,0.0,
057108,2026-07-16,590000.0,0.0,
066835,2026-07-16,589000.0,0.0,
058472,2026-07-16,588000.0,0.0,
066875,2026-07-16,588000.0,0.0,
088412,2026-07-16,581000.0,0.0,
069749,2026-07-16,577000.0,0.0,
068048,2026-07-16,576000.0,0.0,
059475,2026-07-16,573000.0,0.0,
075028,2026-07-16,572000.0,0.0,
070732,2026-07-16,572000.0,0.0,
071832,2026-07-16,571000.0,0.0,
073123,2026-07-16,571000.0,0.0,
2031,2026-07-16,569652.0,0.0,
069786,2026-07-16,567000.0,0.0,
074055,2026-07-16,567000.0,0.0,
067705,2026-07-16,566000.0,0.0,
058830,2026-07-16,563000.0,0.0,
070478,2026-07-16,563000.0,0.0,
070422,2026-07-16,562000.0,0.0,
067988,2026-07-16,559000.0,0.0,
073050,2026-07-16,557000.0,0.0,
059660,2026-07-16,555000.0,0.0,
074398,2026-07-16,555000.0,0.0,
035351,2026-07-16,554000.0,0.0,
066505,2026-07-16,554000.0,0.0,
057209,2026-07-16,553000.0,0.0,
052491,2026-07-16,551000.0,0.0,
2458,2026-07-16,550839.0,295000.0,
069710,2026-07-16,546000.0,0.0,
061321,2026-07-16,543000.0,0.0,
034994,2026-07-16,541000.0,0.0,
069517,2026-07-16,541000.0,0.0,
070690,2026-07-16,541000.0,0.0,
070983,2026-07-16,541000.0,0.0,
068674,2026-07-16,541000.0,0.0,
2912,2026-07-16,540348.0,605713.0,
062670,2026-07-16,538000.0,0.0,
071008,2026-07-16,537000.0,0.0,
064671,2026-07-16,534000.0,0.0,
058701,2026-07-16,533000.0,0.0,
073251,2026-07-16,532000.0,0.0,
066669,2026-07-16,532000.0,0.0,
065921,2026-07-16,532000.0,0.0,
9938,2026-07-16,530830.0,0.0,
00965,2026-07-16,529574.0,0.0,
069396,2026-07-16,529000.0,0.0,
063652,2026-07-16,528000.0,0.0,
070455,2026-07-16,528000.0,0.0,
061926,2026-07-16,527000.0,0.0,
073761,2026-07-16,527000.0,0.0,
070495,2026-07-16,525000.0,0.0,
060771,2026-07-16,524000.0,0.0,
068913,2026-07-16,522000.0,0.0,
075127,2026-07-16,520000.0,0.0,
051068,2026-07-16,520000.0,0.0,
061760,2026-07-16,518000.0,0.0,
069198,2026-07-16,518000.0,0.0,
069099,2026-07-16,517000.0,0.0,
069083,2026-07-16,516000.0,0.0,
069550,2026-07-16,515000.0,0.0,
061527,2026-07-16,515000.0,0.0,
068451,2026-07-16,515000.0,0.0,
059580,2026-07-16,513000.0,0.0,
068003,2026-07-16,509000.0,0.0,
070109,2026-07-16,509000.0,0.0,
074863,2026-07-16,509000.0,0.0,
2476,2026-07-16,505717.0,0.0,
063755,2026-07-16,505000.0,0.0,
059266,2026-07-16,504000.0,0.0,
071148,2026-07-16,504000.0,0.0,
061775,2026-07-16,503000.0,0.0,
060340,2026-07-16,502000.0,0.0,
061036,2026-07-16,502000.0,0.0,
3034,2026-07-16,501182.0,-734677.0,
063541,2026-07-16,501000.0,0.0,
061122,2026-07-16,500000.0,0.0,
074402,2026-07-16,500000.0,0.0,
2385,2026-07-16,499708.0,-930795.0,
061837,2026-07-16,499000.0,0.0,
070500,2026-07-16,499000.0,0.0,
069548,2026-07-16,499000.0,0.0,
062104,2026-07-16,499000.0,0.0,
051205,2026-07-16,499000.0,0.0,
062922,2026-07-16,499000.0,0.0,
073110,2026-07-16,499000.0,0.0,
040619,2026-07-16,499000.0,0.0,
058275,2026-07-16,499000.0,0.0,
6592,2026-07-16,498823.0,0.0,
067215,2026-07-16,497000.0,0.0,
070733,2026-07-16,496000.0,0.0,
070736,2026-07-16,496000.0,0.0,
074696,2026-07-16,496000.0,0.0,
060854,2026-07-16,496000.0,0.0,
066482,2026-07-16,495000.0,0.0,
070314,2026-07-16,494000.0,0.0,
1201,2026-07-16,493433.0,0.0,
070032,2026-07-16,493000.0,0.0,
069689,2026-07-16,493000.0,0.0,
072924,2026-07-16,491000.0,0.0,
064837,2026-07-16,490000.0,0.0,
073027,2026-07-16,490000.0,0.0,
3703,2026-07-16,490000.0,-1000.0,
1436,2026-07-16,488000.0,0.0,
073523,2026-07-16,488000.0,0.0,
059067,2026-07-16,487000.0,0.0,
066483,2026-07-16,487000.0,0.0,
068883,2026-07-16,486000.0,0.0,
071941,2026-07-16,484000.0,0.0,
069717,2026-07-16,484000.0,0.0,
074703,2026-07-16,484000.0,0.0,
075521,2026-07-16,483000.0,0.0,
