stock_id,eps,op_income,net_income,revenue,gross_profit,year,season
1463,-0.01,-5748.0,-2488.0,62815.0,10717.0,2026,1
1464,0.3,105075.0,124089.0,2987876.0,623995.0,2026,1
1465,0.27,-13544.0,28088.0,98482.0,2323.0,2026,1
1466,0.17,8437.0,21257.0,547834.0,69273.0,2026,1
1467,0.11,6454.0,27696.0,1182469.0,233654.0,2026,1
1468,0.17,6858.0,27321.0,127625.0,33061.0,2026,1
1470,0.31,23476.0,26671.0,191305.0,51630.0,2026,1
1471,-0.03,-31799.0,-3809.0,22014.0,-4457.0,2026,1
1472,1.78,106392.0,93494.0,914324.0,134105.0,2026,1
1473,0.69,103223.0,100342.0,1959149.0,360065.0,2026,1
1474,0.09,-5242.0,10001.0,691030.0,75356.0,2026,1
1475,0.88,42420.0,57885.0,347966.0,62237.0,2026,1
1476,6.69,2194913.0,1834516.0,9621070.0,3094736.0,2026,1
1477,4.35,1377342.0,1077406.0,8896989.0,2326036.0,2026,1
1503,2.79,1854855.0,1515633.0,11558778.0,2747719.0,2026,1
1504,0.51,1178530.0,1238690.0,14235194.0,3341581.0,2026,1
1506,0.02,6172.0,5319.0,290125.0,50596.0,2026,1
1512,0.09,-15139.0,8480.0,321113.0,102126.0,2026,1
1513,1.94,1203389.0,960263.0,6490639.0,1685977.0,2026,1
1514,0.73,211127.0,200461.0,2526342.0,443237.0,2026,1
1515,0.07,-4490.0,11553.0,1050350.0,154824.0,2026,1
1516,-0.05,-2315.0,-2088.0,26221.0,1603.0,2026,1
1517,-0.19,-85854.0,-36778.0,438193.0,4957.0,2026,1
1519,3.29,1008294.0,1015824.0,4756515.0,2074114.0,2026,1
1521,0.44,32036.0,33328.0,1003761.0,151057.0,2026,1
1522,-0.19,-81012.0,-24408.0,6675148.0,1033272.0,2026,1
1524,0.53,93486.0,86973.0,562184.0,170253.0,2026,1
1525,-0.82,2924.0,-59860.0,281735.0,40655.0,2026,1
1526,-0.44,-31597.0,-26532.0,161967.0,20373.0,2026,1
1527,0.32,24243.0,44613.0,629386.0,115885.0,2026,1
1528,-0.15,-36032.0,-29326.0,712104.0,216948.0,2026,1
1529,0.16,24506.0,28506.0,248511.0,39961.0,2026,1
1530,0.18,-15685.0,14216.0,444813.0,56873.0,2026,1
1531,0.03,-22632.0,5391.0,347486.0,51055.0,2026,1
1532,-0.09,47497.0,-23412.0,3204035.0,692228.0,2026,1
1533,0.84,91711.0,136240.0,1288273.0,358245.0,2026,1
1535,0.77,114131.0,95213.0,2203311.0,256530.0,2026,1
1536,-0.52,-161269.0,-148320.0,1193410.0,77806.0,2026,1
1537,2.11,194789.0,172828.0,1713997.0,347687.0,2026,1
1538,-1.11,-16498.0,-35716.0,10367.0,1627.0,2026,1
1539,0.08,-1673.0,5354.0,241975.0,20581.0,2026,1
1540,0.32,6859.0,27084.0,86231.0,20934.0,2026,1
1541,0.48,14876.0,37894.0,598810.0,112229.0,2026,1
1558,1.23,115500.0,153553.0,1926175.0,466203.0,2026,1
1560,2.94,444439.0,442152.0,2293229.0,802560.0,2026,1
1563,0.6,163156.0,130742.0,1871936.0,411927.0,2026,1
1568,0.51,49416.0,52905.0,250310.0,92607.0,2026,1
1582,0.35,111562.0,55249.0,2115340.0,422396.0,2026,1
1583,0.18,-45483.0,28170.0,932415.0,168110.0,2026,1
1587,0.04,22290.0,3153.0,754074.0,126757.0,2026,1
1590,13.35,3324875.0,2670926.0,10013502.0,4803572.0,2026,1
1597,0.43,44301.0,37908.0,334402.0,139658.0,2026,1
1598,0.25,57360.0,34633.0,1638270.0,690078.0,2026,1
1603,0.29,71842.0,45700.0,1304277.0,115200.0,2026,1
1604,0.51,152503.0,192257.0,2372906.0,478239.0,2026,1
1605,0.81,547321.0,3498015.0,41070352.0,3192789.0,2026,1
1608,0.37,419422.0,203171.0,3453119.0,483830.0,2026,1
1609,0.66,1174452.0,603557.0,8341066.0,1571949.0,2026,1
1611,0.13,31774.0,42238.0,252470.0,96609.0,2026,1
1612,0.82,273484.0,260733.0,1919326.0,333895.0,2026,1
1614,0.47,34894.0,122850.0,1262257.0,233181.0,2026,1
1615,0.94,250732.0,184775.0,1317762.0,308439.0,2026,1
1616,0.28,70357.0,53518.0,1302894.0,128426.0,2026,1
1617,0.08,14007.0,12801.0,911155.0,75347.0,2026,1
1618,1.57,351688.0,302261.0,1166170.0,393476.0,2026,1
