stock_id,eps,op_income,net_income,revenue,gross_profit,year,season
2801,0.78,,,,,2025,2
2812,0.76,,,,,2025,2
2820,0.72,,,,,2025,2
2834,0.66,,,,,2025,2
2836,0.31,,,,,2025,2
2838,0.49,,,,,2025,2
2845,0.44,,,,,2025,2
2849,0.35,,,,,2025,2
2897,0.32,,,,,2025,2
5876,1.61,,,,,2025,2
2855,0.33,1583.0,530458.0,,,2025,2
6005,0.93,1536336.0,2281071.0,,,2025,2
6024,2.57,25010.0,605084.0,,,2025,2
1101,0.07,3415898.0,1498464.0,70310678.0,11240554.0,2025,2
1102,1.28,4192682.0,4489931.0,35260444.0,5745110.0,2025,2
1103,-0.32,400.0,-218120.0,1521022.0,249661.0,2025,2
1104,0.98,566769.0,695019.0,3897477.0,828646.0,2025,2
1108,1.72,887983.0,694822.0,2373296.0,495834.0,2025,2
1109,0.49,215067.0,192104.0,2251696.0,365260.0,2025,2
1110,0.07,130521.0,64879.0,1488986.0,209181.0,2025,2
1201,0.27,263497.0,136615.0,10731979.0,2971421.0,2025,2
1203,0.64,528182.0,306614.0,2954993.0,1061439.0,2025,2
1210,1.74,2342244.0,1718952.0,50338217.0,7154639.0,2025,2
1213,-0.45,-23594.0,-25728.0,135192.0,-4426.0,2025,2
1215,4.95,1832747.0,1462401.0,13757991.0,2928518.0,2025,2
1216,1.88,20309805.0,17037967.0,338837523.0,113456566.0,2025,2
1217,-0.05,64974.0,-18945.0,2427739.0,673205.0,2025,2
1218,0.66,243713.0,321963.0,4929498.0,858925.0,2025,2
1219,0.06,-65798.0,-61856.0,7127883.0,536375.0,2025,2
1220,-0.11,-12292.0,-9100.0,1559661.0,138424.0,2025,2
1225,0.8,232981.0,211713.0,6177586.0,543302.0,2025,2
1227,0.52,682137.0,486526.0,13055092.0,3432482.0,2025,2
1229,1.29,1297058.0,2983181.0,6531618.0,1910111.0,2025,2
1231,1.3,464432.0,353737.0,6105448.0,1205555.0,2025,2
1232,3.93,815619.0,658607.0,10501378.0,1396447.0,2025,2
1233,0.41,43339.0,36980.0,1073441.0,637677.0,2025,2
1234,0.96,103740.0,386349.0,4696711.0,1255545.0,2025,2
1235,0.71,3595.0,18861.0,68170.0,18595.0,2025,2
1236,-0.52,-42504.0,-45223.0,849982.0,202661.0,2025,2
1256,4.33,194673.0,146823.0,1797111.0,500493.0,2025,2
1301,-1.03,-2454356.0,-6575262.0,92589306.0,4048116.0,2025,2
1303,-0.46,1338011.0,-3711609.0,131267601.0,10301483.0,2025,2
1304,-1.4,-1377698.0,-3468142.0,23721688.0,643751.0,2025,2
1305,-1.16,-774952.0,-710333.0,5120293.0,-297777.0,2025,2
1307,0.96,806522.0,381712.0,5405637.0,1724982.0,2025,2
1308,-0.9,25288.0,-533150.0,2874834.0,148345.0,2025,2
1309,-0.75,-169347.0,-297400.0,8082368.0,367019.0,2025,2
1310,-0.7,-382961.0,-371625.0,4740083.0,-298683.0,2025,2
1312,-1.53,-1762772.0,-1735888.0,11017134.0,-520738.0,2025,2
1313,-0.31,-441224.0,-411959.0,29532637.0,812497.0,2025,2
1314,-0.51,-1497754.0,-1753789.0,11405055.0,-560460.0,2025,2
1315,-0.44,-20502.0,-39679.0,1157524.0,160068.0,2025,2
1316,-0.61,191765.0,8248.0,1710042.0,703332.0,2025,2
1319,3.25,2807840.0,1986889.0,13184726.0,4723367.0,2025,2
1321,-0.6,-18811.0,-133029.0,1944585.0,168373.0,2025,2
1323,0.0,1885.0,427.0,1042153.0,137053.0,2025,2
1324,-0.53,-37003.0,-39965.0,376762.0,58281.0,2025,2
1325,-0.6,-39571.0,-53255.0,166126.0,-16517.0,2025,2
1326,-1.24,-2966687.0,-7454804.0,152456956.0,3663214.0,2025,2
1337,-0.8,-187675.0,-215533.0,349522.0,-45785.0,2025,2
1338,-2.13,-61357.0,-168375.0,2528274.0,567227.0,2025,2
1339,0.21,193571.0,8749.0,907210.0,347114.0,2025,2
1340,-0.69,-96956.0,-105062.0,132949.0,-41006.0,2025,2
1341,1.53,143676.0,80986.0,1273262.0,291521.0,2025,2
1342,2.67,286174.0,210454.0,1485091.0,407345.0,2025,2
1402,0.66,9897518.0,7656571.0,123800719.0,26773658.0,2025,2
1410,-0.02,1221.0,-5950.0,102748.0,34658.0,2025,2
1413,0.32,51624.0,42381.0,1208937.0,77394.0,2025,2
1414,0.02,-4180.0,4182.0,259780.0,33902.0,2025,2
1416,0.25,-8746.0,52899.0,162821.0,54054.0,2025,2
1417,0.01,-35099.0,2112.0,139839.0,76499.0,2025,2
1418,-1.52,-37949.0,-82822.0,3549.0,446.0,2025,2
1419,1.42,175557.0,423503.0,2000540.0,563629.0,2025,2
1423,1.36,-40863.0,135623.0,42911.0,-19673.0,2025,2
1432,-0.18,-1104.0,-26577.0,675107.0,294691.0,2025,2
1434,0.09,551907.0,152651.0,14933348.0,1692664.0,2025,2
1435,-0.19,-27090.0,-26414.0,2991.0,1935.0,2025,2
1436,2.65,674459.0,448911.0,1653468.0,869559.0,2025,2
1437,0.16,163074.0,31785.0,389637.0,203235.0,2025,2
1438,-0.63,-18003.0,-69854.0,241.0,67.0,2025,2
1439,1.22,35685.0,113073.0,233260.0,71048.0,2025,2
1440,-0.04,-243234.0,-45666.0,7892620.0,589096.0,2025,2
1441,0.09,7840.0,6208.0,777263.0,85178.0,2025,2
1442,2.04,882891.0,745375.0,2137655.0,1052290.0,2025,2
1443,0.07,188940.0,26450.0,506664.0,248188.0,2025,2
1444,-0.34,-163754.0,-397246.0,3620653.0,108221.0,2025,2
1445,-0.4,-22168.0,-52470.0,402827.0,57287.0,2025,2
1446,1.46,284514.0,200378.0,766818.0,367219.0,2025,2
1447,-0.49,-261847.0,-432985.0,14493662.0,114001.0,2025,2
1449,0.02,16035.0,3504.0,1352536.0,226151.0,2025,2
1451,0.9,36474.0,178234.0,3127647.0,337081.0,2025,2
1452,-0.48,-21258.0,-63976.0,699049.0,24892.0,2025,2
1453,-0.11,-16492.0,-12226.0,745.0,388.0,2025,2
1454,-0.58,-40535.0,-71422.0,817201.0,40657.0,2025,2
1455,-0.61,-267526.0,-321969.0,3585324.0,-85728.0,2025,2
1456,-0.56,94801.0,-52359.0,460193.0,161784.0,2025,2
1457,0.39,362751.0,215217.0,1666628.0,182030.0,2025,2
1459,0.12,410.0,222879.0,539889.0,44345.0,2025,2
1460,-0.17,-28970.0,-114938.0,3702942.0,557276.0,2025,2
1463,0.21,132614.0,59780.0,684754.0,170181.0,2025,2
1464,-0.12,294948.0,-122277.0,6284704.0,1312579.0,2025,2
1465,-0.72,-27596.0,-74668.0,189995.0,-1461.0,2025,2
1466,-0.35,-2907.0,-35965.0,1344442.0,124055.0,2025,2
1467,-0.8,-26963.0,-195307.0,2385936.0,422891.0,2025,2
1468,-0.38,-20575.0,-58956.0,455592.0,33827.0,2025,2
1470,0.07,39542.0,6004.0,412631.0,95678.0,2025,2
1471,-0.01,-48961.0,-2124.0,102191.0,9693.0,2025,2
1472,3.48,214302.0,182659.0,1804199.0,283228.0,2025,2
1473,0.91,195688.0,133146.0,3999547.0,705214.0,2025,2
1474,0.14,13426.0,17626.0,1440980.0,182680.0,2025,2
1475,-0.11,130610.0,-7129.0,759375.0,184842.0,2025,2
1476,8.31,3476314.0,2280574.0,19092199.0,5324060.0,2025,2
1477,7.65,2521802.0,1917845.0,17612957.0,4453111.0,2025,2
1503,4.05,2830826.0,2175099.0,19154585.0,4451227.0,2025,2
1504,1.23,2661943.0,2783717.0,29221136.0,6955068.0,2025,2
1506,-0.03,13204.0,-8691.0,546628.0,95792.0,2025,2
1512,0.02,-19390.0,1900.0,546196.0,176397.0,2025,2
1513,3.68,2428749.0,1820938.0,13552078.0,3392802.0,2025,2
1514,1.32,425500.0,355646.0,4593338.0,847151.0,2025,2
1515,-0.4,-24717.0,-75439.0,2207165.0,296218.0,2025,2
1516,-0.09,-4605.0,-3780.0,40522.0,2123.0,2025,2
1517,-0.55,-113538.0,-129434.0,1059541.0,72190.0,2025,2
1519,5.23,2468640.0,1634690.0,10494649.0,4036858.0,2025,2
1521,0.23,63477.0,17280.0,1750890.0,296504.0,2025,2
1522,0.1,625036.0,110152.0,9236420.0,2316666.0,2025,2
1524,0.82,245430.0,135204.0,1287200.0,398016.0,2025,2
1525,1.61,4747.0,118367.0,570609.0,63783.0,2025,2
1526,-0.12,-2051.0,-7225.0,408993.0,104389.0,2025,2
1527,0.25,146516.0,34161.0,1557257.0,365439.0,2025,2
1528,-0.61,21658.0,-121139.0,1331076.0,414374.0,2025,2
1529,0.88,29991.0,139555.0,475526.0,91064.0,2025,2
